"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",11,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1
"2",9,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1
"3",6,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"4",9,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
"5",13,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"6",12,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1
"7",14,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"8",8,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
"9",9,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0
"10",9,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
"11",13,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0
"12",10,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0
"13",10,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1
"14",8,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
"15",12,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1
"16",8,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
"17",12,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1
"18",16,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1
"19",11,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
"20",14,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0
"21",11,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0
"22",12,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
"23",10,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1
"24",12,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0
"25",11,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1
"26",8,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0
"27",8,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1
"28",9,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
"29",10,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"30",10,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1
"31",9,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1
"32",10,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1
"33",7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
"34",11,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"35",11,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1
"36",10,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1
"37",10,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
"38",10,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1
"39",9,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
"40",15,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
"41",10,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1
"42",8,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
"43",14,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1
"44",9,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1
"45",12,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0
"46",7,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"47",11,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0
"48",10,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
"49",7,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
"50",9,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
