"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",8,1,1,0,0,1,1,1,1,1,1
"2",7,1,1,1,0,1,1,0,1,1,0
"3",5,1,0,0,0,1,0,1,0,1,1
"4",4,1,0,0,0,1,1,0,0,0,1
"5",6,0,0,1,0,0,1,1,1,1,1
"6",5,0,1,1,0,1,0,0,1,0,1
"7",3,0,0,0,1,1,0,0,1,0,0
"8",6,1,0,0,1,1,1,0,1,0,1
"9",6,1,1,1,1,0,1,0,1,0,0
"10",5,0,0,1,1,0,1,0,1,1,0
"11",2,0,0,1,0,0,1,0,0,0,0
"12",4,0,0,0,0,1,1,0,1,1,0
"13",5,1,0,0,0,1,1,0,1,0,1
"14",5,1,0,0,0,0,1,1,0,1,1
"15",7,0,1,1,0,1,1,0,1,1,1
"16",5,1,0,1,1,0,1,1,0,0,0
"17",7,1,0,1,0,1,0,1,1,1,1
"18",8,1,1,1,0,1,1,1,1,1,0
"19",5,1,0,1,1,1,1,0,0,0,0
"20",4,1,0,0,0,1,0,0,0,1,1
"21",2,0,0,0,0,1,1,0,0,0,0
"22",5,0,1,1,0,0,0,0,1,1,1
"23",6,1,1,0,0,1,1,1,0,1,0
"24",4,0,1,0,0,1,0,0,1,0,1
"25",5,0,0,0,1,1,1,1,0,1,0
"26",4,0,1,0,0,0,1,1,0,0,1
"27",6,0,1,0,0,1,1,1,1,1,0
"28",6,1,0,0,1,1,1,0,0,1,1
"29",4,1,0,0,0,1,0,0,1,0,1
"30",5,0,0,0,1,1,1,1,0,0,1
"31",3,1,0,0,0,0,0,1,0,0,1
"32",5,1,1,1,0,1,0,0,1,0,0
"33",2,0,0,0,0,0,0,0,0,1,1
"34",8,1,1,1,1,1,0,0,1,1,1
"35",6,0,0,1,0,1,0,1,1,1,1
"36",4,0,0,1,0,0,1,1,1,0,0
"37",7,1,1,1,1,1,1,1,0,0,0
"38",6,0,1,1,0,0,1,1,0,1,1
"39",5,0,1,1,0,0,0,1,0,1,1
"40",4,0,0,0,1,0,0,0,1,1,1
"41",4,1,1,0,0,0,0,1,1,0,0
"42",2,0,0,0,0,0,0,0,0,1,1
"43",8,1,1,1,1,1,0,1,0,1,1
"44",6,0,1,1,0,0,1,1,1,0,1
"45",5,0,1,1,1,0,0,1,0,0,1
"46",4,0,0,1,0,1,1,0,1,0,0
"47",3,1,0,0,1,0,0,1,0,0,0
"48",4,0,0,1,0,0,0,1,1,1,0
"49",6,0,1,0,1,1,0,1,0,1,1
"50",7,1,1,0,1,1,0,1,0,1,1
