"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",3,0,0,0,0,1,0,0,1,0,1
"2",4,1,0,0,1,0,0,0,0,1,1
"3",8,1,1,1,0,1,1,1,1,1,0
"4",6,0,0,1,1,1,0,1,1,1,0
"5",4,1,0,0,0,0,0,1,1,0,1
"6",8,1,1,0,1,1,1,1,0,1,1
"7",6,1,1,0,1,1,1,0,1,0,0
"8",5,1,0,1,0,1,0,1,1,0,0
"9",4,0,1,0,1,0,0,1,0,1,0
"10",4,1,1,0,1,1,0,0,0,0,0
"11",7,1,0,1,1,1,1,1,0,0,1
"12",7,1,0,1,1,1,0,0,1,1,1
"13",8,1,1,1,1,1,0,0,1,1,1
"14",2,0,0,0,1,0,0,0,1,0,0
"15",6,1,0,1,1,0,1,0,1,0,1
"16",6,1,0,1,1,1,1,0,0,0,1
"17",8,1,1,1,1,1,1,1,0,1,0
"18",6,1,0,1,0,0,1,1,1,1,0
"19",7,1,1,0,1,0,1,1,1,1,0
"20",7,1,0,1,1,0,1,0,1,1,1
"21",4,1,0,1,0,0,0,1,0,1,0
"22",4,0,1,0,0,0,1,0,1,0,1
"23",4,0,0,1,0,0,1,1,0,1,0
"24",4,1,0,0,0,1,1,0,0,0,1
"25",7,1,0,0,1,1,1,1,1,1,0
"26",7,1,0,1,1,0,1,1,1,0,1
"27",5,1,1,0,0,1,0,0,1,0,1
"28",2,1,0,0,0,0,0,0,0,0,1
"29",5,0,1,1,0,1,1,0,0,0,1
"30",5,0,1,0,1,1,1,0,1,0,0
"31",1,0,0,0,0,0,0,1,0,0,0
"32",4,1,0,0,0,1,0,0,1,1,0
"33",7,0,0,1,1,1,1,1,1,1,0
"34",2,0,0,0,0,0,0,0,0,1,1
"35",5,1,1,1,0,0,0,1,0,0,1
"36",5,0,0,1,0,1,0,1,0,1,1
"37",3,0,0,0,0,1,1,0,0,1,0
"38",8,1,1,0,1,1,1,1,1,1,0
"39",5,1,0,1,1,0,0,1,0,0,1
"40",6,1,1,0,1,0,0,1,1,0,1
"41",6,1,1,1,1,0,1,0,1,0,0
"42",7,1,1,1,0,1,1,0,0,1,1
"43",4,0,0,0,0,1,0,1,0,1,1
"44",4,0,0,1,1,0,1,0,0,0,1
"45",5,0,1,1,0,1,0,1,1,0,0
"46",5,0,0,1,1,1,0,1,0,1,0
"47",7,0,1,1,0,1,1,1,1,1,0
"48",2,0,0,1,0,0,0,0,1,0,0
"49",4,0,1,0,0,1,1,0,0,0,1
"50",5,0,0,1,0,1,1,0,0,1,1
