"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",1,1,0,0,0,0
"2",1,0,0,1,0,0
"3",3,1,0,1,0,1
"4",3,1,1,0,1,0
"5",4,1,1,1,0,1
"6",3,0,1,1,1,0
"7",4,1,1,0,1,1
"8",1,0,1,0,0,0
"9",2,1,0,0,1,0
"10",1,1,0,0,0,0
"11",1,0,1,0,0,0
"12",2,1,0,0,1,0
"13",1,0,0,0,1,0
"14",1,0,0,1,0,0
"15",4,1,0,1,1,1
"16",5,1,1,1,1,1
"17",1,1,0,0,0,0
"18",1,1,0,0,0,0
"19",1,0,1,0,0,0
"20",2,0,1,0,0,1
"21",4,1,1,1,0,1
"22",3,1,0,0,1,1
"23",2,1,0,1,0,0
"24",3,1,1,0,1,0
"25",4,1,0,1,1,1
"26",2,1,0,1,0,0
"27",3,0,1,0,1,1
"28",2,0,0,1,1,0
"29",2,1,0,0,0,1
"30",2,1,0,0,0,1
"31",3,1,1,0,0,1
"32",2,0,0,1,1,0
"33",2,0,1,0,0,1
"34",1,0,0,1,0,0
"35",2,1,1,0,0,0
"36",2,1,0,0,0,1
"37",3,1,1,0,1,0
"38",3,1,1,0,1,0
"39",2,1,0,1,0,0
"40",4,0,1,1,1,1
"41",1,0,0,1,0,0
"42",1,0,0,1,0,0
"43",3,0,1,1,1,0
"44",4,1,1,0,1,1
"45",3,0,0,1,1,1
"46",4,0,1,1,1,1
"47",3,1,1,0,1,0
"48",1,0,0,0,0,1
"49",4,1,1,1,0,1
"50",3,1,0,0,1,1
