"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,0,1,0,1,1
"2",2,1,1,0,0,0
"3",2,1,0,0,0,1
"4",4,1,1,1,1,0
"5",1,0,0,1,0,0
"6",3,0,1,1,1,0
"7",1,0,0,1,0,0
"8",2,0,1,1,0,0
"9",3,1,1,0,0,1
"10",4,0,1,1,1,1
"11",3,0,1,1,1,0
"12",2,0,1,1,0,0
"13",4,1,1,0,1,1
"14",3,0,1,1,1,0
"15",3,1,1,0,0,1
"16",2,0,0,0,1,1
"17",0,0,0,0,0,0
"18",5,1,1,1,1,1
"19",3,0,1,0,1,1
"20",1,0,0,0,1,0
"21",3,0,1,1,1,0
"22",2,0,1,0,1,0
"23",3,1,1,0,0,1
"24",1,1,0,0,0,0
"25",2,0,0,0,1,1
"26",2,1,1,0,0,0
"27",1,1,0,0,0,0
"28",2,1,0,0,1,0
"29",3,0,1,1,0,1
"30",4,1,1,0,1,1
"31",2,0,1,0,1,0
"32",4,1,1,0,1,1
"33",0,0,0,0,0,0
"34",2,0,0,0,1,1
"35",2,0,0,0,1,1
"36",1,1,0,0,0,0
"37",1,0,0,1,0,0
"38",3,0,1,0,1,1
"39",2,1,0,0,0,1
"40",2,0,1,0,1,0
"41",4,1,1,0,1,1
"42",2,0,1,0,1,0
"43",3,0,1,1,1,0
"44",3,0,1,1,0,1
"45",4,1,1,1,1,0
"46",3,1,1,1,0,0
"47",3,0,0,1,1,1
"48",1,0,0,0,1,0
"49",2,0,1,1,0,0
"50",5,1,1,1,1,1
