"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,0,0,1,1
"2",2,1,1,0,0,0
"3",4,1,0,1,1,1
"4",2,1,0,1,0,0
"5",3,1,1,0,1,0
"6",4,1,1,0,1,1
"7",4,1,1,1,0,1
"8",4,0,1,1,1,1
"9",1,0,0,1,0,0
"10",4,1,1,1,0,1
"11",1,0,0,0,0,1
"12",2,1,1,0,0,0
"13",3,1,0,0,1,1
"14",3,1,0,1,1,0
"15",3,1,0,0,1,1
"16",3,1,1,0,0,1
"17",3,0,1,1,0,1
"18",3,0,0,1,1,1
"19",2,0,1,0,1,0
"20",1,0,1,0,0,0
"21",1,0,1,0,0,0
"22",4,0,1,1,1,1
"23",2,1,0,1,0,0
"24",2,0,0,1,1,0
"25",1,0,0,1,0,0
"26",2,1,1,0,0,0
"27",2,1,1,0,0,0
"28",4,0,1,1,1,1
"29",2,1,0,0,1,0
"30",3,0,1,0,1,1
"31",3,1,0,1,0,1
"32",0,0,0,0,0,0
"33",1,0,1,0,0,0
"34",4,1,1,1,0,1
"35",4,1,1,1,0,1
"36",0,0,0,0,0,0
"37",2,0,1,0,0,1
"38",2,0,1,0,1,0
"39",3,1,1,0,0,1
"40",4,1,1,1,1,0
"41",1,0,0,0,0,1
"42",3,0,0,1,1,1
"43",1,0,1,0,0,0
"44",1,0,0,0,0,1
"45",1,1,0,0,0,0
"46",3,1,0,0,1,1
"47",2,0,0,0,1,1
"48",2,0,1,1,0,0
"49",2,1,0,1,0,0
"50",5,1,1,1,1,1
