"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",8,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0
"2",9,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0
"3",12,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"4",8,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
"5",10,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
"6",3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"7",6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"8",9,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"9",14,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1
"10",13,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0
"11",12,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1
"12",14,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1
"13",12,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0
"14",12,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0
"15",12,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
"16",11,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1
"17",11,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
"18",7,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
"19",8,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1
"20",14,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1
"21",10,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
"22",12,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0
"23",11,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0
"24",7,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
"25",8,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0
"26",12,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0
"27",14,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
"28",11,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1
"29",9,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1
"30",11,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0
"31",11,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
"32",11,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1
"33",10,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"34",10,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1
"35",8,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0
"36",12,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0
"37",7,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"38",6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
"39",9,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1
"40",10,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0
"41",12,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1
"42",12,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
"43",14,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
"44",10,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1
"45",9,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0
"46",10,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0
"47",11,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1
"48",14,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
"49",10,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1
"50",9,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0
