"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",6,0,0,1,0,1,0,1,1,1,1
"2",4,1,0,0,1,1,1,0,0,0,0
"3",2,1,0,0,0,0,0,0,0,0,1
"4",3,0,0,1,0,1,0,0,0,0,1
"5",4,0,1,0,0,1,0,0,1,0,1
"6",7,1,1,1,1,0,1,1,0,1,0
"7",5,1,1,0,0,0,1,0,1,1,0
"8",7,1,1,1,0,1,0,1,1,1,0
"9",5,1,0,1,0,1,0,0,1,0,1
"10",5,0,1,1,0,1,1,0,0,1,0
"11",8,1,1,0,1,1,1,1,0,1,1
"12",6,1,0,0,1,1,1,1,0,1,0
"13",3,0,1,0,1,0,1,0,0,0,0
"14",4,0,1,0,0,1,0,1,1,0,0
"15",3,0,0,0,1,0,1,0,0,1,0
"16",7,0,0,1,1,1,1,0,1,1,1
"17",6,1,1,1,0,1,0,1,0,0,1
"18",5,0,0,1,1,0,1,1,0,1,0
"19",6,0,1,1,0,1,1,0,1,0,1
"20",4,0,0,1,1,0,0,1,0,1,0
"21",7,1,1,1,0,1,0,0,1,1,1
"22",3,0,0,0,0,1,0,0,1,0,1
"23",5,1,0,1,0,1,0,1,1,0,0
"24",7,0,1,0,1,1,1,1,0,1,1
"25",6,1,0,1,1,1,0,1,1,0,0
"26",6,1,0,1,0,1,1,0,0,1,1
"27",4,0,1,0,1,0,1,1,0,0,0
"28",3,0,0,1,0,1,0,0,1,0,0
"29",3,0,0,1,0,1,0,0,1,0,0
"30",5,0,1,1,0,0,1,0,1,0,1
"31",8,0,1,1,0,1,1,1,1,1,1
"32",5,0,1,1,1,0,0,0,1,0,1
"33",8,1,1,1,1,0,1,1,0,1,1
"34",8,1,1,1,1,1,1,0,1,1,0
"35",4,0,0,1,0,0,1,0,1,1,0
"36",4,0,1,0,1,0,1,0,1,0,0
"37",3,0,0,0,1,0,0,0,0,1,1
"38",5,0,1,0,1,1,0,0,1,0,1
"39",8,1,1,1,1,0,1,1,1,0,1
"40",5,1,0,1,1,1,0,1,0,0,0
"41",6,0,1,1,0,1,1,1,0,0,1
"42",5,1,1,1,1,0,1,0,0,0,0
"43",6,0,0,1,1,1,1,0,1,1,0
"44",3,0,0,0,1,0,0,1,1,0,0
"45",2,0,1,0,0,1,0,0,0,0,0
"46",9,1,1,1,1,1,1,1,1,0,1
"47",3,0,0,0,0,0,1,1,0,0,1
"48",7,1,0,1,1,0,1,1,0,1,1
"49",7,1,0,0,1,0,1,1,1,1,1
"50",4,0,0,0,0,1,1,0,1,0,1
