"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",3,0,0,0,0,1,1,0,0,0,1
"2",5,0,1,0,1,0,1,1,1,0,0
"3",5,0,1,0,0,0,1,1,0,1,1
"4",7,1,0,1,1,0,0,1,1,1,1
"5",3,0,1,0,0,1,0,0,1,0,0
"6",6,1,1,1,0,1,0,0,1,1,0
"7",6,1,1,0,1,0,1,0,0,1,1
"8",4,1,1,0,0,0,1,1,0,0,0
"9",8,1,0,1,1,1,1,1,1,1,0
"10",8,1,1,1,1,1,1,0,0,1,1
"11",6,1,0,0,0,1,1,1,1,0,1
"12",5,1,0,1,0,1,0,1,0,1,0
"13",6,1,0,1,0,1,1,1,0,0,1
"14",5,1,1,0,1,1,0,0,1,0,0
"15",7,1,0,1,0,1,0,1,1,1,1
"16",4,0,1,1,0,1,0,0,1,0,0
"17",3,0,0,0,0,1,1,1,0,0,0
"18",9,1,1,1,1,1,1,1,1,1,0
"19",3,1,0,0,0,0,1,0,0,0,1
"20",4,0,1,1,1,0,0,1,0,0,0
"21",5,0,1,0,1,0,1,0,1,1,0
"22",3,0,1,0,0,0,0,1,1,0,0
"23",7,1,0,1,1,1,1,0,1,0,1
"24",6,0,1,1,1,0,1,1,0,0,1
"25",6,0,1,1,1,0,1,0,1,1,0
"26",7,1,0,1,0,1,1,1,1,1,0
"27",3,0,0,0,1,1,0,1,0,0,0
"28",8,0,1,1,1,1,1,1,1,0,1
"29",5,0,1,0,0,0,1,0,1,1,1
"30",6,1,1,1,1,0,0,1,0,1,0
"31",4,0,0,0,1,1,1,0,0,0,1
"32",6,0,1,1,1,0,1,1,0,0,1
"33",5,0,1,1,0,1,1,0,0,1,0
"34",7,1,0,1,0,1,1,0,1,1,1
"35",4,1,1,0,0,0,1,1,0,0,0
"36",7,1,1,0,1,0,0,1,1,1,1
"37",5,0,0,0,0,1,0,1,1,1,1
"38",4,1,0,0,1,0,1,1,0,0,0
"39",2,0,0,1,0,0,0,0,0,1,0
"40",7,1,0,1,0,1,1,1,1,1,0
"41",4,0,0,1,1,0,1,1,0,0,0
"42",5,0,0,0,0,1,1,0,1,1,1
"43",8,1,1,1,1,1,1,0,0,1,1
"44",5,1,0,1,0,1,0,0,1,0,1
"45",5,1,0,0,1,0,1,1,1,0,0
"46",2,0,0,0,1,0,0,0,0,1,0
"47",1,0,0,0,0,0,0,1,0,0,0
"48",5,0,0,0,0,0,1,1,1,1,1
"49",3,0,1,0,0,0,0,1,0,0,1
"50",7,1,0,0,0,1,1,1,1,1,1
