"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",12,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
"2",7,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0
"3",16,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"4",7,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
"5",7,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"6",10,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
"7",8,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"8",10,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
"9",14,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1
"10",12,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
"11",9,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
"12",15,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
"13",11,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0
"14",14,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1
"15",11,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1
"16",10,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0
"17",11,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1
"18",9,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
"19",13,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0
"20",9,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1
"21",11,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1
"22",6,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"23",13,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
"24",6,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"25",9,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
"26",12,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0
"27",8,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
"28",13,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0
"29",12,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1
"30",11,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1
"31",9,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1
"32",11,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1
"33",10,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
"34",9,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1
"35",14,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1
"36",8,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
"37",6,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"38",12,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"39",11,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
"40",10,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
"41",7,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
"42",10,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0
"43",7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"44",14,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0
"45",11,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1
"46",10,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1
"47",10,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
"48",10,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0
"49",8,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
"50",9,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
