"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",4,0,0,0,1,1,0,0,1,0,1
"2",5,0,0,1,0,0,1,1,1,1,0
"3",5,0,1,0,1,0,1,0,1,1,0
"4",5,0,1,1,0,0,1,0,1,0,1
"5",6,1,1,1,1,0,1,0,0,1,0
"6",2,1,0,0,1,0,0,0,0,0,0
"7",4,1,0,0,0,0,1,1,0,0,1
"8",4,0,1,1,1,0,0,1,0,0,0
"9",6,1,1,1,1,1,0,0,0,0,1
"10",2,0,0,1,0,0,0,0,0,1,0
"11",4,0,1,0,1,0,0,0,1,1,0
"12",5,1,1,1,0,0,0,0,1,1,0
"13",6,1,0,0,1,1,1,0,1,1,0
"14",7,1,1,0,1,1,1,1,0,1,0
"15",6,1,1,0,1,0,1,1,0,0,1
"16",3,1,0,1,0,0,0,0,0,0,1
"17",4,0,0,0,0,1,0,0,1,1,1
"18",5,1,0,0,0,0,0,1,1,1,1
"19",4,0,0,1,0,1,0,1,1,0,0
"20",5,1,1,0,0,1,1,0,0,1,0
"21",3,0,0,0,1,1,0,0,0,0,1
"22",8,1,1,1,1,0,1,1,1,1,0
"23",5,1,0,1,0,1,0,0,1,0,1
"24",7,1,1,1,1,0,0,1,0,1,1
"25",6,1,0,1,1,1,0,1,1,0,0
"26",6,0,0,1,0,1,1,0,1,1,1
"27",9,1,1,1,0,1,1,1,1,1,1
"28",8,0,1,1,1,1,1,0,1,1,1
"29",7,1,0,1,0,1,1,1,1,0,1
"30",8,1,1,1,0,1,1,0,1,1,1
"31",6,1,1,0,1,1,0,0,0,1,1
"32",6,1,1,1,0,1,0,0,1,1,0
"33",4,1,0,0,1,1,0,1,0,0,0
"34",5,0,1,1,1,0,1,0,1,0,0
"35",4,0,0,1,1,0,0,1,0,1,0
"36",3,0,0,0,1,1,1,0,0,0,0
"37",4,0,1,0,0,0,0,0,1,1,1
"38",7,0,0,1,1,0,1,1,1,1,1
"39",6,0,0,1,1,1,1,0,0,1,1
"40",6,0,1,1,0,0,1,1,1,1,0
"41",5,1,1,0,1,0,0,0,1,0,1
"42",4,1,0,0,0,1,0,0,1,0,1
"43",7,0,1,1,0,1,1,1,1,0,1
"44",3,0,1,1,0,0,0,0,1,0,0
"45",3,0,1,0,0,1,0,1,0,0,0
"46",6,1,0,1,0,1,1,1,0,1,0
"47",5,1,1,1,0,1,0,0,0,1,0
"48",8,0,1,1,1,1,1,1,1,1,0
"49",5,1,0,0,1,0,0,1,1,0,1
"50",8,0,1,1,1,1,1,0,1,1,1
