"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",6,1,0,0,0,1,1,1,1,0,1
"2",4,0,0,1,1,1,1,0,0,0,0
"3",6,0,1,1,0,1,0,0,1,1,1
"4",4,1,0,0,0,0,0,0,1,1,1
"5",5,1,0,1,1,1,0,0,1,0,0
"6",4,0,0,0,1,0,1,1,0,1,0
"7",5,1,0,0,1,1,0,0,1,1,0
"8",8,1,1,1,1,1,0,1,1,0,1
"9",5,1,0,0,1,0,1,1,0,1,0
"10",8,1,1,1,0,0,1,1,1,1,1
"11",8,1,1,1,1,0,1,0,1,1,1
"12",5,1,0,1,0,1,0,1,1,0,0
"13",4,0,1,0,0,1,1,1,0,0,0
"14",6,1,0,0,1,1,1,1,1,0,0
"15",6,0,1,1,1,1,1,0,0,0,1
"16",6,1,0,1,1,0,1,1,0,0,1
"17",4,0,1,0,0,1,1,1,0,0,0
"18",8,1,1,1,0,1,1,1,1,0,1
"19",7,1,1,0,0,1,1,1,0,1,1
"20",4,0,0,0,1,1,0,0,0,1,1
"21",8,0,0,1,1,1,1,1,1,1,1
"22",6,0,1,1,1,0,1,1,1,0,0
"23",5,1,0,0,0,0,1,1,0,1,1
"24",3,0,1,0,1,1,0,0,0,0,0
"25",8,1,1,0,0,1,1,1,1,1,1
"26",6,0,1,1,1,1,0,1,0,1,0
"27",5,1,1,1,0,0,1,0,1,0,0
"28",8,1,1,0,1,1,1,1,1,1,0
"29",5,1,0,0,1,0,1,0,0,1,1
"30",8,1,1,1,1,1,1,1,0,1,0
"31",6,1,1,1,1,0,1,1,0,0,0
"32",3,0,1,0,0,0,0,0,1,1,0
"33",2,0,0,0,0,0,1,1,0,0,0
"34",4,0,1,1,1,0,0,0,1,0,0
"35",5,0,1,1,0,1,1,0,0,0,1
"36",3,1,1,0,0,0,1,0,0,0,0
"37",3,1,0,0,0,0,1,0,0,1,0
"38",5,1,0,1,0,1,0,0,0,1,1
"39",4,0,0,1,1,0,1,0,0,1,0
"40",6,0,1,1,1,0,1,0,0,1,1
"41",6,1,1,0,0,1,0,1,1,0,1
"42",5,1,1,0,0,0,0,0,1,1,1
"43",4,1,0,0,0,0,0,1,1,1,0
"44",6,1,1,1,1,0,0,1,1,0,0
"45",7,0,1,1,1,1,0,1,1,1,0
"46",4,1,1,1,0,0,0,0,0,1,0
"47",5,0,1,0,1,0,0,1,1,1,0
"48",6,1,0,0,1,0,0,1,1,1,1
"49",7,1,0,1,0,1,0,1,1,1,1
"50",8,1,1,0,1,1,0,1,1,1,1
