"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",11,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1
"2",10,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1
"3",11,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
"4",10,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0
"5",8,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1
"6",12,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1
"7",9,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0
"8",6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1
"9",10,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
"10",10,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1
"11",11,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0
"12",9,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
"13",11,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1
"14",11,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0
"15",9,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
"16",11,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1
"17",6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"18",8,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0
"19",12,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1
"20",17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
"21",10,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1
"22",12,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
"23",13,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1
"24",12,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
"25",10,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0
"26",11,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
"27",8,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
"28",7,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0
"29",10,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0
"30",10,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"31",9,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1
"32",11,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0
"33",10,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
"34",13,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1
"35",7,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"36",11,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"37",12,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"38",10,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"39",10,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0
"40",12,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0
"41",6,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"42",11,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1
"43",14,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
"44",10,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1
"45",11,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1
"46",10,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
"47",9,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
"48",7,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
"49",10,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
"50",10,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1
