"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",9,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
"2",9,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0
"3",7,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
"4",10,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
"5",10,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
"6",10,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0
"7",14,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1
"8",9,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
"9",13,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0
"10",9,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0
"11",7,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"12",9,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"13",12,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1
"14",10,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1
"15",10,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
"16",9,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"17",10,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0
"18",6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0
"19",8,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0
"20",12,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1
"21",8,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0
"22",7,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
"23",8,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1
"24",9,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0
"25",10,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0
"26",16,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
"27",11,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1
"28",7,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"29",12,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
"30",12,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1
"31",13,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0
"32",9,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0
"33",11,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
"34",11,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1
"35",9,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1
"36",11,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1
"37",11,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
"38",11,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1
"39",9,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
"40",9,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1
"41",10,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0
"42",9,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1
"43",14,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1
"44",11,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1
"45",9,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"46",8,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1
"47",11,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0
"48",11,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
"49",9,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
"50",8,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
