"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",0,0,0,0,0,0
"2",2,0,0,1,1,0
"3",3,1,1,0,1,0
"4",1,0,0,0,1,0
"5",3,0,1,0,1,1
"6",1,1,0,0,0,0
"7",2,1,0,0,1,0
"8",2,0,1,0,0,1
"9",3,1,1,1,0,0
"10",3,0,1,1,0,1
"11",2,0,1,0,1,0
"12",2,1,0,0,0,1
"13",4,1,1,1,1,0
"14",1,1,0,0,0,0
"15",1,0,1,0,0,0
"16",4,1,1,1,0,1
"17",2,0,0,1,1,0
"18",1,0,0,0,0,1
"19",2,0,1,0,1,0
"20",2,0,1,0,0,1
"21",4,0,1,1,1,1
"22",2,1,1,0,0,0
"23",0,0,0,0,0,0
"24",3,1,1,0,0,1
"25",2,1,1,0,0,0
"26",2,0,1,0,0,1
"27",3,0,1,1,0,1
"28",3,1,0,1,1,0
"29",2,1,0,0,1,0
"30",1,0,1,0,0,0
"31",1,0,1,0,0,0
"32",4,1,0,1,1,1
"33",3,0,1,1,0,1
"34",3,0,1,1,0,1
"35",4,1,1,0,1,1
"36",2,0,0,1,0,1
"37",2,1,0,0,1,0
"38",3,0,0,1,1,1
"39",3,1,0,1,0,1
"40",1,0,0,0,1,0
"41",2,1,0,0,1,0
"42",3,0,1,0,1,1
"43",5,1,1,1,1,1
"44",3,0,0,1,1,1
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",3,1,1,0,1,0
"48",1,0,1,0,0,0
"49",1,1,0,0,0,0
"50",3,0,1,0,1,1
