"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,0,0,1,1
"2",2,1,0,1,0,0
"3",4,1,0,1,1,1
"4",4,1,1,1,1,0
"5",2,0,0,1,0,1
"6",2,1,0,0,0,1
"7",1,0,0,1,0,0
"8",2,1,0,1,0,0
"9",4,1,1,0,1,1
"10",1,0,0,1,0,0
"11",2,0,0,1,0,1
"12",2,0,1,0,0,1
"13",3,0,1,1,0,1
"14",5,1,1,1,1,1
"15",1,0,0,0,0,1
"16",4,1,1,0,1,1
"17",3,0,1,1,1,0
"18",2,0,0,1,1,0
"19",1,0,0,0,0,1
"20",1,0,0,0,0,1
"21",1,0,0,0,1,0
"22",0,0,0,0,0,0
"23",2,0,1,0,0,1
"24",1,0,0,1,0,0
"25",3,1,0,1,0,1
"26",2,0,1,0,1,0
"27",3,0,1,1,0,1
"28",2,0,0,1,0,1
"29",2,0,1,0,0,1
"30",3,1,1,0,1,0
"31",2,0,0,1,0,1
"32",1,1,0,0,0,0
"33",4,1,1,1,0,1
"34",0,0,0,0,0,0
"35",2,0,0,1,1,0
"36",1,0,0,0,1,0
"37",2,0,0,1,1,0
"38",0,0,0,0,0,0
"39",1,0,1,0,0,0
"40",2,1,0,0,1,0
"41",0,0,0,0,0,0
"42",1,0,1,0,0,0
"43",3,1,1,0,0,1
"44",2,0,1,1,0,0
"45",5,1,1,1,1,1
"46",2,1,1,0,0,0
"47",3,0,1,1,1,0
"48",3,1,1,0,0,1
"49",3,1,1,0,0,1
"50",4,1,1,0,1,1
"51",1,0,1,0,0,0
"52",3,1,0,1,1,0
"53",3,0,1,0,1,1
"54",2,0,0,1,0,1
"55",1,1,0,0,0,0
"56",3,1,1,1,0,0
"57",1,1,0,0,0,0
"58",5,1,1,1,1,1
"59",4,0,1,1,1,1
"60",4,1,1,1,0,1
"61",4,0,1,1,1,1
"62",2,0,1,0,1,0
"63",3,1,0,0,1,1
"64",2,1,0,0,0,1
"65",5,1,1,1,1,1
"66",3,1,0,1,1,0
"67",2,1,1,0,0,0
"68",4,1,0,1,1,1
"69",2,0,1,0,1,0
"70",4,1,1,1,0,1
"71",3,0,1,1,0,1
"72",2,0,1,0,1,0
"73",5,1,1,1,1,1
"74",2,1,0,0,1,0
"75",3,1,1,0,0,1
"76",2,0,1,0,0,1
"77",3,1,1,0,1,0
"78",3,1,0,1,1,0
"79",3,0,1,0,1,1
"80",2,0,1,0,0,1
"81",2,0,0,1,1,0
"82",2,1,0,0,1,0
"83",2,0,0,1,0,1
"84",4,1,1,0,1,1
"85",3,1,0,1,0,1
"86",3,0,0,1,1,1
"87",2,0,1,0,1,0
"88",2,1,0,0,1,0
"89",3,1,0,1,0,1
"90",2,0,1,0,0,1
"91",2,0,0,0,1,1
"92",2,0,0,0,1,1
"93",3,1,1,0,1,0
"94",3,0,1,1,1,0
"95",2,0,1,1,0,0
"96",1,0,0,0,1,0
"97",2,0,1,0,0,1
"98",1,1,0,0,0,0
"99",2,0,0,1,0,1
"100",4,1,1,0,1,1
