"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",13,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0
"2",10,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1
"3",12,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"4",10,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1
"5",13,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1
"6",9,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1
"7",12,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1
"8",9,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
"9",11,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1
"10",10,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0
"11",9,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
"12",8,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
"13",12,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1
"14",12,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1
"15",11,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0
"16",10,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1
"17",7,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"18",6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"19",4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"20",9,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0
"21",11,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1
"22",9,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0
"23",11,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1
