"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",4,0,0,1,0,0,1,0,0,1,1
"2",4,1,1,0,0,0,1,0,0,0,1
"3",6,1,1,0,0,1,0,1,0,1,1
"4",6,0,1,1,1,1,0,1,0,1,0
"5",6,1,0,0,1,0,0,1,1,1,1
"6",2,0,0,0,0,1,0,0,1,0,0
"7",5,0,1,1,0,1,1,0,0,0,1
"8",2,0,0,0,0,0,1,0,1,0,0
"9",5,1,1,1,1,0,1,0,0,0,0
"10",1,0,0,0,0,1,0,0,0,0,0
"11",4,0,0,0,1,0,1,1,0,1,0
"12",4,1,1,0,0,0,1,0,0,0,1
"13",4,0,1,1,0,0,0,1,0,1,0
"14",6,0,1,1,1,0,0,1,1,0,1
"15",5,1,0,1,1,0,0,0,1,0,1
"16",7,1,0,1,1,1,1,1,1,0,0
"17",5,0,0,0,0,1,0,1,1,1,1
"18",5,1,0,1,0,0,0,1,1,0,1
"19",3,1,0,1,0,0,0,1,0,0,0
"20",4,1,1,0,0,0,1,0,1,0,0
"21",6,1,0,1,0,0,1,1,1,1,0
"22",3,1,0,1,0,0,0,1,0,0,0
"23",6,1,1,0,1,0,1,0,0,1,1
"24",5,0,1,0,1,1,1,1,0,0,0
"25",5,0,0,1,1,0,0,1,1,1,0
"26",4,0,0,1,0,0,1,1,0,1,0
"27",5,0,0,1,1,1,1,0,0,1,0
"28",6,0,1,0,0,1,1,0,1,1,1
"29",6,1,1,1,0,0,0,0,1,1,1
"30",4,0,0,1,0,0,1,1,1,0,0
"31",4,1,0,1,0,1,1,0,0,0,0
"32",5,1,1,1,0,0,1,0,0,1,0
"33",4,1,1,0,0,0,0,0,0,1,1
"34",2,0,1,0,0,0,0,0,0,0,1
"35",4,0,0,1,0,0,1,1,1,0,0
"36",6,0,0,0,1,1,1,1,0,1,1
"37",5,1,1,0,0,1,1,0,1,0,0
"38",7,1,0,1,1,1,0,1,0,1,1
"39",4,0,0,0,1,1,1,0,0,1,0
"40",4,1,0,1,0,1,0,0,1,0,0
"41",7,1,1,1,1,0,1,1,1,0,0
"42",6,1,1,0,1,1,0,0,1,1,0
"43",5,1,0,0,1,1,0,0,1,0,1
"44",4,1,1,0,0,1,0,0,1,0,0
"45",6,1,1,0,1,0,0,1,1,0,1
"46",4,1,0,0,1,1,1,0,0,0,0
"47",5,0,1,1,1,1,0,0,1,0,0
"48",2,1,0,0,0,0,0,0,0,1,0
"49",4,0,1,0,0,0,1,0,0,1,1
"50",4,0,0,1,0,1,1,1,0,0,0
"51",4,0,0,1,1,0,0,0,1,1,0
"52",5,1,1,0,1,0,1,1,0,0,0
"53",6,0,0,1,1,1,1,1,0,1,0
"54",3,1,0,0,1,0,0,0,1,0,0
"55",6,1,0,1,0,1,1,1,0,0,1
"56",4,0,1,0,0,1,0,0,0,1,1
"57",6,0,1,1,1,1,1,1,0,0,0
"58",6,0,1,0,0,1,1,1,0,1,1
"59",7,1,0,1,1,1,1,0,1,1,0
"60",6,1,1,1,0,1,0,0,0,1,1
"61",6,1,1,1,0,0,0,0,1,1,1
"62",3,1,0,0,0,0,1,0,0,1,0
"63",5,1,1,0,0,1,1,0,0,0,1
"64",6,1,1,0,0,1,0,1,1,0,1
"65",4,1,1,0,0,0,0,1,1,0,0
"66",5,0,1,0,0,0,1,1,1,0,1
"67",6,1,1,1,1,1,0,0,0,1,0
"68",7,1,1,0,1,0,0,1,1,1,1
"69",4,0,1,1,1,0,0,1,0,0,0
"70",2,0,0,0,0,0,0,0,1,0,1
"71",2,0,1,0,1,0,0,0,0,0,0
"72",5,0,0,0,1,1,0,1,0,1,1
"73",5,1,1,1,1,0,0,0,0,0,1
"74",4,0,1,0,1,1,0,0,0,1,0
"75",3,0,1,0,1,0,0,0,0,0,1
"76",6,0,0,1,1,1,1,0,1,1,0
"77",4,0,1,0,0,0,1,1,0,1,0
"78",7,1,0,1,1,1,0,0,1,1,1
"79",2,0,0,0,0,0,1,0,1,0,0
"80",4,0,0,0,1,0,0,1,1,0,1
"81",4,0,1,0,1,0,1,0,0,0,1
"82",5,1,1,1,0,0,0,1,0,1,0
"83",3,1,1,0,1,0,0,0,0,0,0
"84",4,0,1,0,1,0,0,1,0,1,0
"85",3,0,0,0,0,1,0,0,1,0,1
"86",3,0,0,0,1,0,1,0,0,0,1
"87",7,1,1,1,1,0,1,0,0,1,1
"88",4,1,0,0,1,0,1,0,0,0,1
"89",7,1,1,1,1,0,0,1,1,1,0
"90",4,0,1,1,1,0,1,0,0,0,0
"91",3,0,0,0,0,1,1,0,1,0,0
"92",6,1,1,1,1,0,1,1,0,0,0
"93",3,0,0,0,0,0,1,1,1,0,0
"94",5,1,1,0,1,1,0,1,0,0,0
"95",3,0,1,0,0,0,1,1,0,0,0
"96",6,0,1,0,1,0,1,1,1,1,0
"97",7,1,1,1,1,0,1,1,0,1,0
"98",8,1,0,1,1,1,1,1,1,1,0
"99",5,0,1,1,1,0,0,1,1,0,0
"100",7,1,1,1,1,1,0,1,1,0,0
