"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",0,0,0,0,0,0
"2",3,1,0,0,1,1
"3",1,0,0,0,1,0
"4",2,0,0,1,0,1
"5",2,0,0,1,0,1
"6",2,1,1,0,0,0
"7",3,1,1,1,0,0
"8",3,0,1,1,0,1
"9",2,0,1,0,0,1
"10",2,0,0,1,1,0
"11",1,0,0,0,1,0
"12",3,1,1,0,0,1
"13",1,1,0,0,0,0
"14",4,0,1,1,1,1
"15",1,0,0,1,0,0
"16",2,0,1,0,1,0
"17",0,0,0,0,0,0
"18",5,1,1,1,1,1
"19",2,0,0,1,1,0
"20",4,1,1,1,1,0
"21",3,0,1,1,0,1
"22",2,1,0,0,1,0
"23",4,1,0,1,1,1
"24",2,0,0,1,1,0
"25",1,0,0,0,1,0
"26",1,0,1,0,0,0
"27",1,0,0,1,0,0
"28",2,0,1,0,1,0
"29",3,1,1,0,0,1
"30",2,0,0,1,0,1
"31",3,0,1,0,1,1
"32",2,0,1,1,0,0
"33",2,0,1,0,1,0
"34",3,1,1,0,0,1
"35",1,0,0,1,0,0
"36",2,0,0,0,1,1
"37",4,1,1,1,0,1
"38",1,0,0,0,1,0
"39",2,1,0,0,0,1
"40",1,0,0,1,0,0
"41",1,0,0,1,0,0
"42",4,0,1,1,1,1
"43",2,0,1,0,1,0
"44",2,1,0,0,0,1
"45",2,0,0,0,1,1
"46",3,0,1,0,1,1
"47",3,0,0,1,1,1
"48",5,1,1,1,1,1
"49",3,1,0,1,0,1
"50",3,1,0,0,1,1
"51",2,0,0,1,0,1
"52",2,0,0,1,1,0
"53",1,0,0,0,0,1
"54",2,1,0,1,0,0
"55",3,0,1,1,1,0
"56",2,0,1,0,1,0
"57",2,1,0,0,1,0
"58",4,1,1,1,0,1
"59",5,1,1,1,1,1
"60",1,1,0,0,0,0
"61",3,0,1,1,1,0
"62",3,1,1,0,1,0
"63",2,1,0,1,0,0
"64",4,1,1,0,1,1
"65",5,1,1,1,1,1
"66",2,0,1,1,0,0
"67",3,1,0,0,1,1
"68",2,0,1,1,0,0
"69",0,0,0,0,0,0
"70",4,1,1,1,1,0
"71",1,0,0,1,0,0
"72",3,0,1,1,0,1
"73",4,1,1,0,1,1
"74",2,0,1,0,0,1
"75",3,0,1,0,1,1
"76",2,0,0,0,1,1
"77",3,0,1,0,1,1
"78",4,0,1,1,1,1
"79",1,0,1,0,0,0
"80",2,0,0,0,1,1
"81",4,1,1,1,0,1
"82",1,0,0,0,0,1
"83",1,0,0,0,0,1
"84",4,0,1,1,1,1
"85",3,0,1,1,0,1
"86",3,0,1,1,0,1
"87",3,1,1,1,0,0
"88",2,1,1,0,0,0
"89",3,1,0,1,0,1
"90",3,1,0,0,1,1
"91",2,0,0,1,1,0
"92",3,0,1,0,1,1
"93",1,1,0,0,0,0
"94",4,1,1,1,1,0
"95",3,1,1,0,0,1
"96",3,1,0,1,1,0
"97",3,1,1,1,0,0
"98",3,1,0,0,1,1
"99",1,0,1,0,0,0
"100",3,0,0,1,1,1
