"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"3",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"4",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"5",4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"7",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8",3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"10",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"11",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"12",3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"13",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"14",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"18",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"19",3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"20",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"21",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"25",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"27",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"28",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"30",3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
