"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",7,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"2",5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"3",8,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0
"4",6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
"5",7,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
"6",7,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
"7",5,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
"8",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"9",3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"10",6,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
"11",5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"12",4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"13",7,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0
"14",4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"15",6,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"16",8,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
"17",6,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
"18",6,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0
"19",4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"20",5,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"21",4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"22",4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"23",2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"24",7,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"25",3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"26",8,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0
"27",3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"28",3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"29",5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"30",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"31",6,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
"32",5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"33",4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"34",5,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"35",6,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"36",4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"37",7,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0
"38",5,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"39",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"40",5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"41",6,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"42",7,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0
"43",3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"44",3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"45",2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"46",3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"47",7,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
"48",5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"49",8,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"50",6,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"51",5,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"52",3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"53",3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"54",4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"55",5,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
"56",5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"57",4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"58",3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
