"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",2,1,0,0,1,0
"2",1,0,0,0,0,1
"3",3,1,0,1,0,1
"4",2,1,0,0,1,0
"5",3,1,1,0,0,1
"6",4,0,1,1,1,1
"7",4,1,1,1,0,1
"8",2,1,1,0,0,0
"9",1,1,0,0,0,0
"10",2,1,0,0,0,1
"11",1,0,0,0,0,1
"12",2,0,1,0,0,1
"13",3,0,1,0,1,1
"14",1,1,0,0,0,0
"15",3,1,0,1,1,0
"16",1,0,0,0,1,0
"17",4,0,1,1,1,1
"18",3,1,0,1,1,0
"19",1,0,0,0,0,1
"20",2,0,0,1,1,0
"21",3,0,0,1,1,1
"22",2,0,1,0,1,0
"23",3,1,0,1,1,0
"24",1,0,0,1,0,0
"25",1,0,0,1,0,0
"26",2,0,1,0,0,1
"27",1,0,1,0,0,0
"28",1,0,1,0,0,0
"29",1,1,0,0,0,0
"30",2,1,0,0,0,1
"31",3,1,1,0,0,1
"32",4,1,1,1,0,1
"33",3,0,1,1,0,1
"34",4,0,1,1,1,1
"35",3,1,1,0,0,1
"36",2,1,1,0,0,0
"37",3,1,0,1,1,0
"38",4,1,1,0,1,1
"39",2,0,0,1,0,1
"40",3,0,0,1,1,1
"41",0,0,0,0,0,0
"42",1,0,0,0,1,0
"43",1,0,1,0,0,0
"44",3,1,1,0,1,0
"45",2,0,1,0,0,1
"46",1,0,1,0,0,0
"47",3,0,1,0,1,1
"48",2,0,0,0,1,1
"49",1,0,1,0,0,0
"50",2,1,0,0,0,1
"51",4,1,0,1,1,1
"52",4,1,0,1,1,1
"53",4,1,1,1,1,0
"54",2,0,1,0,1,0
"55",3,0,1,0,1,1
"56",4,1,1,0,1,1
"57",3,0,0,1,1,1
"58",3,0,1,1,1,0
"59",2,0,1,0,1,0
"60",4,1,1,1,1,0
"61",1,0,0,1,0,0
"62",4,1,1,0,1,1
"63",3,1,1,1,0,0
"64",2,1,1,0,0,0
"65",1,0,0,0,1,0
"66",1,1,0,0,0,0
"67",1,0,0,1,0,0
"68",2,0,0,0,1,1
"69",1,1,0,0,0,0
"70",5,1,1,1,1,1
"71",1,1,0,0,0,0
"72",2,0,1,0,1,0
"73",4,1,1,0,1,1
"74",2,1,1,0,0,0
"75",4,1,1,1,1,0
"76",4,1,1,1,0,1
"77",3,1,1,0,1,0
"78",1,0,0,0,0,1
"79",2,1,0,0,0,1
"80",1,0,0,0,0,1
"81",1,0,1,0,0,0
"82",3,0,1,1,1,0
"83",0,0,0,0,0,0
"84",3,0,1,0,1,1
"85",2,0,0,1,1,0
"86",3,1,0,0,1,1
"87",3,1,0,1,1,0
"88",3,1,1,0,0,1
"89",4,1,1,0,1,1
"90",4,1,0,1,1,1
"91",3,0,1,0,1,1
"92",1,0,0,0,1,0
"93",1,1,0,0,0,0
"94",4,1,0,1,1,1
"95",1,1,0,0,0,0
"96",3,1,0,1,1,0
"97",1,1,0,0,0,0
"98",2,1,1,0,0,0
"99",3,1,1,0,1,0
"100",2,1,1,0,0,0
