"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",2,0,1,1,0,0
"2",5,1,1,1,1,1
"3",2,0,0,0,1,1
"4",0,0,0,0,0,0
"5",1,0,0,0,1,0
"6",2,1,0,0,1,0
"7",0,0,0,0,0,0
"8",3,1,1,1,0,0
"9",1,0,0,0,1,0
"10",3,1,0,1,1,0
"11",2,0,0,1,0,1
"12",3,1,1,0,0,1
"13",5,1,1,1,1,1
"14",3,1,0,0,1,1
"15",3,1,1,0,1,0
"16",3,1,0,1,0,1
"17",3,1,0,1,1,0
"18",1,1,0,0,0,0
"19",1,1,0,0,0,0
"20",4,1,1,1,1,0
"21",2,1,0,0,1,0
"22",2,0,1,0,0,1
"23",2,1,0,1,0,0
"24",4,1,0,1,1,1
"25",1,0,0,0,0,1
"26",4,0,1,1,1,1
"27",2,1,0,0,0,1
"28",3,0,1,1,1,0
"29",2,0,0,1,1,0
"30",1,0,1,0,0,0
"31",4,1,1,1,0,1
"32",1,0,0,1,0,0
"33",1,0,1,0,0,0
"34",2,1,1,0,0,0
"35",2,0,0,1,1,0
"36",4,1,1,1,1,0
"37",3,0,1,0,1,1
"38",5,1,1,1,1,1
"39",3,1,1,0,1,0
"40",3,1,1,0,1,0
"41",3,1,1,0,1,0
"42",1,0,0,0,0,1
"43",4,1,1,1,1,0
"44",2,0,1,1,0,0
"45",3,1,0,1,0,1
"46",4,1,1,1,0,1
"47",1,0,0,0,1,0
"48",1,0,0,1,0,0
"49",1,0,0,0,1,0
"50",3,0,1,1,1,0
"51",4,1,1,0,1,1
"52",4,1,1,1,1,0
"53",2,0,0,1,1,0
"54",2,0,1,0,0,1
"55",2,0,1,1,0,0
"56",3,0,0,1,1,1
"57",2,0,0,1,0,1
"58",3,1,0,0,1,1
"59",2,1,1,0,0,0
"60",0,0,0,0,0,0
"61",3,0,1,1,0,1
"62",1,0,1,0,0,0
"63",4,1,1,1,1,0
"64",2,0,0,0,1,1
"65",2,0,1,0,1,0
"66",1,0,0,1,0,0
"67",1,0,0,0,0,1
"68",3,0,1,1,0,1
"69",3,0,1,1,0,1
"70",2,1,0,0,0,1
"71",3,0,1,1,0,1
"72",0,0,0,0,0,0
"73",4,0,1,1,1,1
"74",2,0,1,0,0,1
"75",1,0,0,0,1,0
"76",4,1,1,0,1,1
"77",5,1,1,1,1,1
"78",3,0,1,1,1,0
"79",2,1,0,0,0,1
"80",3,1,0,0,1,1
"81",2,1,0,0,0,1
"82",3,0,1,1,1,0
"83",2,1,0,1,0,0
"84",2,0,1,1,0,0
"85",3,1,1,1,0,0
"86",2,1,1,0,0,0
"87",1,0,0,0,0,1
"88",1,0,0,0,1,0
"89",1,0,1,0,0,0
"90",4,1,1,0,1,1
"91",0,0,0,0,0,0
"92",2,1,0,1,0,0
"93",3,0,0,1,1,1
"94",3,0,1,1,1,0
"95",3,1,0,1,1,0
"96",3,0,1,1,0,1
"97",2,0,0,1,0,1
"98",2,1,1,0,0,0
"99",3,1,1,0,0,1
"100",1,0,0,1,0,0
