"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,1,0,1,0
"2",1,0,0,1,0,0
"3",2,1,0,0,1,0
"4",3,0,1,0,1,1
"5",2,0,0,0,1,1
"6",4,1,1,0,1,1
"7",3,0,1,0,1,1
"8",3,0,1,0,1,1
"9",4,1,1,1,0,1
"10",2,0,1,0,0,1
"11",2,0,1,0,1,0
"12",2,0,0,0,1,1
"13",2,1,1,0,0,0
"14",5,1,1,1,1,1
"15",2,1,0,0,0,1
"16",0,0,0,0,0,0
"17",2,1,1,0,0,0
"18",3,1,1,0,0,1
"19",2,1,0,0,0,1
"20",2,0,1,0,1,0
"21",2,1,0,1,0,0
"22",3,0,0,1,1,1
"23",2,0,0,0,1,1
"24",1,0,0,0,0,1
"25",4,1,1,1,0,1
"26",3,1,1,0,1,0
"27",1,0,0,1,0,0
"28",3,1,1,0,1,0
"29",4,1,0,1,1,1
"30",2,1,1,0,0,0
"31",2,1,0,0,1,0
"32",2,1,1,0,0,0
"33",3,1,1,0,0,1
"34",3,0,1,0,1,1
"35",2,0,0,1,0,1
"36",3,1,0,0,1,1
"37",3,1,1,0,0,1
"38",4,0,1,1,1,1
"39",1,1,0,0,0,0
"40",1,1,0,0,0,0
"41",5,1,1,1,1,1
"42",4,1,0,1,1,1
"43",1,0,0,0,0,1
"44",3,1,0,1,0,1
"45",1,0,1,0,0,0
"46",3,1,0,0,1,1
"47",4,1,1,1,0,1
"48",2,0,1,0,1,0
"49",3,0,1,1,0,1
"50",2,0,0,1,0,1
"51",4,1,1,1,1,0
"52",3,0,1,1,0,1
"53",1,0,0,1,0,0
"54",2,0,1,1,0,0
"55",2,0,1,0,0,1
"56",3,0,0,1,1,1
"57",0,0,0,0,0,0
"58",3,0,1,1,0,1
"59",4,1,0,1,1,1
"60",3,0,0,1,1,1
"61",2,0,1,1,0,0
"62",3,1,1,0,1,0
"63",2,0,1,0,0,1
"64",2,1,1,0,0,0
"65",3,1,0,1,0,1
"66",3,1,0,0,1,1
"67",3,0,1,1,1,0
"68",2,1,0,0,1,0
"69",2,0,0,1,0,1
"70",2,0,1,1,0,0
"71",0,0,0,0,0,0
"72",0,0,0,0,0,0
"73",1,0,0,0,1,0
"74",2,0,1,0,1,0
"75",4,1,0,1,1,1
"76",1,0,0,0,0,1
"77",3,0,1,0,1,1
"78",3,1,1,1,0,0
"79",4,0,1,1,1,1
"80",2,0,0,1,0,1
"81",2,0,0,1,0,1
"82",5,1,1,1,1,1
"83",1,0,0,1,0,0
"84",3,1,1,0,0,1
"85",0,0,0,0,0,0
"86",3,1,0,0,1,1
"87",2,1,0,0,1,0
"88",2,0,1,0,0,1
"89",2,0,1,0,1,0
"90",3,0,1,1,1,0
"91",3,1,0,1,0,1
"92",1,0,0,0,0,1
"93",4,1,1,0,1,1
"94",3,1,0,0,1,1
"95",3,1,1,0,0,1
"96",2,0,1,1,0,0
"97",3,1,0,1,0,1
"98",4,1,0,1,1,1
"99",4,1,0,1,1,1
"100",2,1,0,0,0,1
