"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",3,0,1,0,0,0,0,1,0,0,1
"2",6,1,1,0,0,0,0,1,1,1,1
"3",5,1,0,0,0,0,1,0,1,1,1
"4",9,0,1,1,1,1,1,1,1,1,1
"5",6,1,0,1,1,1,0,0,1,0,1
"6",3,1,0,0,0,1,0,0,1,0,0
"7",6,0,0,1,0,1,1,1,0,1,1
"8",7,1,0,1,1,1,1,1,0,0,1
"9",6,0,1,0,1,0,1,1,1,1,0
"10",6,1,0,1,0,0,1,0,1,1,1
"11",5,0,1,0,1,0,0,1,1,1,0
"12",8,1,0,1,1,1,1,1,0,1,1
"13",5,1,0,1,1,0,0,0,1,0,1
"14",7,1,1,0,1,0,1,1,1,1,0
"15",4,1,0,0,1,0,0,1,1,0,0
"16",7,1,1,1,0,1,0,0,1,1,1
"17",3,0,0,1,0,0,1,0,1,0,0
"18",8,1,0,1,1,1,1,1,1,1,0
"19",7,1,1,0,1,0,1,1,1,0,1
"20",7,0,0,1,1,1,1,0,1,1,1
"21",6,0,1,1,0,1,0,0,1,1,1
"22",6,1,1,1,0,0,1,1,1,0,0
"23",6,0,1,1,1,1,0,0,0,1,1
"24",5,1,1,1,1,0,0,0,0,0,1
"25",6,1,1,1,1,0,0,1,0,0,1
"26",4,0,0,1,0,0,1,1,1,0,0
"27",3,0,1,0,0,1,0,1,0,0,0
"28",4,1,0,1,1,0,0,0,1,0,0
"29",7,1,1,1,0,1,1,1,0,0,1
"30",2,0,0,1,0,1,0,0,0,0,0
"31",4,1,0,0,0,0,1,1,1,0,0
"32",0,0,0,0,0,0,0,0,0,0,0
"33",6,1,1,1,1,1,1,0,0,0,0
"34",4,0,0,0,0,0,1,0,1,1,1
"35",6,1,1,0,0,1,0,1,1,0,1
"36",4,0,1,0,0,0,0,1,1,1,0
"37",3,0,0,0,0,0,1,1,0,0,1
"38",1,0,0,0,0,0,0,0,1,0,0
"39",6,0,1,1,1,0,1,0,0,1,1
"40",6,1,1,0,0,1,1,0,1,1,0
"41",5,1,0,1,1,0,1,0,0,0,1
"42",7,1,1,0,0,0,1,1,1,1,1
"43",5,0,0,1,0,0,1,0,1,1,1
"44",5,1,0,1,1,1,0,0,0,1,0
"45",5,0,1,0,1,0,1,1,1,0,0
"46",5,0,0,0,1,1,0,1,1,0,1
"47",5,1,0,0,1,0,0,1,1,1,0
"48",6,1,1,1,1,1,1,0,0,0,0
"49",6,1,1,0,1,0,1,0,0,1,1
"50",3,0,0,0,0,1,0,0,1,1,0
"51",7,1,1,1,1,1,0,1,1,0,0
"52",4,0,1,1,1,0,0,0,0,0,1
"53",5,1,0,1,0,0,1,0,1,0,1
"54",5,1,1,0,0,0,0,0,1,1,1
"55",5,0,1,1,0,0,0,1,0,1,1
"56",4,0,1,0,0,0,1,0,1,1,0
"57",4,1,0,1,0,0,0,1,0,0,1
"58",5,0,0,1,1,1,0,0,0,1,1
"59",2,0,1,1,0,0,0,0,0,0,0
"60",4,0,0,1,1,1,0,0,0,0,1
"61",6,1,0,1,1,0,1,0,1,0,1
"62",4,1,0,0,0,0,1,1,1,0,0
"63",3,0,1,0,0,0,1,0,1,0,0
"64",6,0,0,1,1,0,0,1,1,1,1
"65",7,0,1,1,1,1,0,1,0,1,1
"66",7,0,1,0,1,0,1,1,1,1,1
"67",6,0,1,0,1,1,1,0,1,1,0
"68",4,1,0,0,1,0,0,1,1,0,0
"69",6,1,0,0,1,0,1,1,1,1,0
"70",8,1,1,1,0,0,1,1,1,1,1
"71",7,1,1,1,1,0,0,1,1,1,0
"72",4,1,0,1,0,1,0,1,0,0,0
"73",6,0,0,1,1,1,0,1,1,0,1
"74",4,1,0,1,0,1,0,1,0,0,0
"75",4,0,0,0,1,0,1,0,0,1,1
"76",6,0,1,0,0,1,1,1,0,1,1
"77",5,1,0,1,0,1,0,1,0,1,0
"78",6,0,0,1,1,1,1,1,1,0,0
"79",2,0,0,1,0,0,0,0,0,0,1
"80",7,0,1,1,0,1,1,1,1,0,1
"81",2,0,0,0,0,0,1,1,0,0,0
"82",5,0,1,1,0,1,0,1,0,1,0
"83",5,0,1,0,0,0,1,0,1,1,1
"84",5,1,1,0,0,0,1,1,0,1,0
"85",2,0,0,1,0,0,0,0,0,0,1
"86",2,0,0,0,1,1,0,0,0,0,0
"87",4,1,0,1,0,0,0,0,1,0,1
"88",7,1,1,1,0,0,1,1,1,0,1
"89",4,1,0,1,0,1,0,0,1,0,0
"90",5,1,1,0,0,1,0,0,1,0,1
"91",6,1,1,0,0,0,0,1,1,1,1
"92",4,1,0,0,0,1,1,0,0,0,1
"93",3,1,0,0,0,0,0,1,0,1,0
"94",6,1,0,1,1,0,1,1,1,0,0
"95",3,1,0,0,0,1,0,1,0,0,0
"96",8,1,1,1,0,1,1,1,0,1,1
"97",3,1,0,0,0,0,0,0,1,0,1
"98",7,0,1,1,0,1,1,1,1,1,0
"99",6,1,1,0,0,1,0,1,1,0,1
"100",4,1,0,0,0,0,0,1,1,1,0
