"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"2",6,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0
"3",2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"4",6,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"5",7,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0
"6",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"7",7,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"8",6,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
"9",6,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"10",3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"11",5,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0
"12",5,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
"13",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14",8,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
"15",8,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0
"16",5,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
"17",4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"18",3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"19",5,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"20",6,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"21",2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"22",4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"23",5,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
"24",4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"25",7,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"26",5,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
"27",3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"28",4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"29",8,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0
"30",5,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"31",4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"32",6,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"33",6,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0
"34",3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"35",6,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0
"36",4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"37",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"38",6,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"39",6,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"40",3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"41",7,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
"42",7,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0
