"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,1,0,1,0
"2",3,0,1,0,1,1
"3",2,0,1,1,0,0
"4",2,0,0,0,1,1
"5",2,0,0,1,0,1
"6",3,0,1,1,0,1
"7",1,1,0,0,0,0
"8",3,1,1,0,1,0
"9",2,0,0,1,0,1
"10",1,0,0,0,1,0
"11",4,1,0,1,1,1
"12",3,0,1,1,1,0
"13",4,0,1,1,1,1
"14",3,0,1,1,1,0
"15",2,1,0,0,0,1
"16",2,1,0,0,0,1
"17",0,0,0,0,0,0
"18",3,0,0,1,1,1
"19",3,1,1,0,0,1
"20",2,0,1,1,0,0
"21",2,1,1,0,0,0
"22",3,1,0,1,0,1
"23",3,1,1,1,0,0
"24",3,1,1,1,0,0
"25",3,1,1,0,0,1
"26",3,1,0,0,1,1
"27",2,1,0,0,0,1
"28",2,0,1,0,0,1
"29",3,1,0,0,1,1
"30",5,1,1,1,1,1
"31",3,1,1,0,0,1
"32",1,0,0,0,0,1
"33",1,1,0,0,0,0
"34",2,0,1,0,0,1
"35",5,1,1,1,1,1
"36",3,1,1,1,0,0
"37",4,1,0,1,1,1
"38",4,0,1,1,1,1
"39",2,1,0,1,0,0
"40",5,1,1,1,1,1
"41",2,0,1,1,0,0
"42",2,0,0,1,1,0
"43",2,0,0,1,0,1
"44",3,1,1,1,0,0
"45",3,0,1,1,0,1
"46",2,1,0,0,0,1
"47",3,1,0,1,0,1
"48",5,1,1,1,1,1
"49",4,1,1,1,1,0
"50",4,1,1,0,1,1
"51",3,0,1,1,1,0
"52",5,1,1,1,1,1
"53",2,1,1,0,0,0
"54",1,0,0,1,0,0
"55",2,0,1,0,1,0
"56",5,1,1,1,1,1
"57",2,0,1,1,0,0
"58",4,1,1,1,1,0
"59",4,1,1,1,1,0
"60",2,1,0,0,0,1
"61",1,1,0,0,0,0
"62",4,0,1,1,1,1
"63",3,1,1,0,1,0
"64",2,0,1,0,1,0
"65",5,1,1,1,1,1
"66",1,0,0,0,1,0
"67",3,0,0,1,1,1
"68",3,1,0,1,0,1
"69",1,0,0,0,0,1
"70",4,1,0,1,1,1
"71",4,1,1,0,1,1
"72",4,1,0,1,1,1
"73",2,0,1,1,0,0
"74",2,0,1,1,0,0
"75",1,0,1,0,0,0
"76",3,1,1,1,0,0
"77",3,0,1,1,0,1
"78",4,1,0,1,1,1
"79",4,1,0,1,1,1
"80",3,1,0,1,0,1
"81",2,0,1,0,0,1
"82",3,0,1,1,0,1
"83",2,0,0,1,1,0
"84",4,1,1,1,0,1
"85",1,0,0,0,1,0
"86",2,0,1,0,0,1
"87",3,0,1,1,1,0
"88",4,0,1,1,1,1
"89",3,1,1,0,1,0
"90",3,1,0,1,1,0
"91",1,0,0,0,0,1
"92",4,1,1,1,1,0
"93",4,1,1,1,1,0
"94",4,1,1,1,1,0
"95",3,1,1,1,0,0
"96",1,0,1,0,0,0
"97",2,1,0,0,1,0
"98",4,0,1,1,1,1
"99",3,0,1,1,0,1
"100",4,1,0,1,1,1
