"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,0,1,1,1,0
"2",2,0,0,0,1,1
"3",3,1,1,0,0,1
"4",3,1,0,1,1,0
"5",3,1,1,0,1,0
"6",3,1,0,1,1,0
"7",2,1,0,0,1,0
"8",4,1,0,1,1,1
"9",3,0,1,0,1,1
"10",3,1,0,0,1,1
"11",3,0,1,1,0,1
"12",5,1,1,1,1,1
"13",3,1,0,1,1,0
"14",1,1,0,0,0,0
"15",4,1,1,1,0,1
"16",4,0,1,1,1,1
"17",2,0,1,0,1,0
"18",2,1,0,1,0,0
"19",3,1,1,1,0,0
"20",2,1,0,0,1,0
"21",4,1,0,1,1,1
"22",1,0,1,0,0,0
"23",3,1,0,1,1,0
"24",3,0,1,0,1,1
"25",3,1,0,1,0,1
"26",2,0,0,1,0,1
"27",2,0,1,1,0,0
"28",2,1,0,1,0,0
"29",3,0,0,1,1,1
"30",1,0,0,0,0,1
"31",4,1,1,1,1,0
"32",2,1,0,0,1,0
"33",2,1,0,1,0,0
"34",5,1,1,1,1,1
"35",2,0,0,0,1,1
"36",3,1,0,1,0,1
"37",2,0,1,0,1,0
"38",3,1,1,0,0,1
"39",4,1,1,0,1,1
"40",3,1,1,0,1,0
"41",1,0,1,0,0,0
"42",1,0,0,0,0,1
"43",1,0,0,0,1,0
"44",3,0,0,1,1,1
"45",2,0,1,1,0,0
"46",3,0,1,1,0,1
"47",1,1,0,0,0,0
"48",3,1,0,1,0,1
"49",2,1,0,1,0,0
"50",3,1,1,0,1,0
"51",1,0,1,0,0,0
"52",4,1,1,0,1,1
"53",3,1,0,1,1,0
"54",3,1,0,1,1,0
"55",2,0,0,0,1,1
"56",2,0,1,0,0,1
"57",3,1,0,1,0,1
"58",3,1,1,1,0,0
"59",2,0,0,1,0,1
"60",2,0,1,0,1,0
"61",4,1,1,1,1,0
"62",2,0,1,0,0,1
"63",3,1,0,0,1,1
"64",2,1,0,0,1,0
"65",3,1,1,0,1,0
"66",2,0,0,1,0,1
"67",3,0,1,1,1,0
"68",1,1,0,0,0,0
"69",4,1,0,1,1,1
"70",2,1,0,0,1,0
"71",4,1,1,0,1,1
"72",2,1,0,0,1,0
"73",2,0,1,1,0,0
"74",2,1,0,0,0,1
"75",4,1,1,1,1,0
"76",3,1,0,1,1,0
"77",2,1,0,0,1,0
"78",4,1,1,1,0,1
"79",2,0,1,0,1,0
"80",2,0,1,0,1,0
"81",1,0,0,0,0,1
"82",3,1,1,0,1,0
"83",4,1,1,0,1,1
"84",2,0,1,0,0,1
"85",1,1,0,0,0,0
"86",3,1,1,0,1,0
"87",3,0,1,0,1,1
"88",3,1,1,1,0,0
"89",2,0,1,0,0,1
"90",4,0,1,1,1,1
"91",1,1,0,0,0,0
"92",3,1,0,1,0,1
"93",1,1,0,0,0,0
"94",4,0,1,1,1,1
"95",1,0,0,1,0,0
"96",4,1,1,0,1,1
"97",2,0,1,0,1,0
"98",3,0,1,1,0,1
"99",4,0,1,1,1,1
"100",3,1,1,0,1,0
