"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,0,1,0,1
"2",2,0,1,0,1,0
"3",2,1,0,0,0,1
"4",4,1,0,1,1,1
"5",2,0,0,0,1,1
"6",1,0,0,0,0,1
"7",5,1,1,1,1,1
"8",3,0,1,1,0,1
"9",2,1,1,0,0,0
"10",3,1,1,0,0,1
"11",2,1,0,1,0,0
"12",1,1,0,0,0,0
"13",3,1,0,1,1,0
"14",2,1,0,0,0,1
"15",2,0,1,0,1,0
"16",4,1,0,1,1,1
"17",2,1,0,0,0,1
"18",2,0,0,1,1,0
"19",3,1,1,0,0,1
"20",5,1,1,1,1,1
"21",3,0,1,1,0,1
"22",2,0,0,1,0,1
"23",3,0,0,1,1,1
"24",1,0,0,0,0,1
"25",4,1,1,1,0,1
"26",4,1,1,1,0,1
"27",4,1,1,1,1,0
"28",1,0,0,0,1,0
"29",3,0,1,1,0,1
"30",4,1,1,1,1,0
"31",5,1,1,1,1,1
"32",2,0,0,0,1,1
"33",4,1,1,0,1,1
"34",2,0,0,1,0,1
"35",2,0,0,1,1,0
"36",4,1,1,1,0,1
"37",3,1,1,0,1,0
"38",0,0,0,0,0,0
"39",4,1,1,1,0,1
"40",3,0,1,0,1,1
"41",3,1,1,1,0,0
"42",3,1,0,0,1,1
"43",3,1,0,0,1,1
"44",4,1,1,1,1,0
"45",1,0,0,0,1,0
"46",2,0,1,0,1,0
"47",3,0,1,1,0,1
"48",2,0,1,0,1,0
"49",2,1,0,1,0,0
"50",3,1,0,1,1,0
"51",3,1,1,0,0,1
"52",2,0,1,1,0,0
"53",3,0,1,0,1,1
"54",2,0,0,0,1,1
"55",3,0,1,0,1,1
"56",3,1,0,1,1,0
"57",2,0,1,1,0,0
"58",4,1,1,0,1,1
"59",4,1,1,1,1,0
"60",3,1,0,1,0,1
"61",3,1,0,1,1,0
"62",2,1,0,0,0,1
"63",4,1,1,0,1,1
"64",3,0,1,1,1,0
"65",2,0,1,0,1,0
"66",3,1,0,1,1,0
"67",3,1,1,0,1,0
"68",3,0,0,1,1,1
"69",2,1,0,0,0,1
"70",3,1,1,1,0,0
"71",2,0,1,0,1,0
"72",3,1,1,0,1,0
"73",3,0,1,1,0,1
"74",3,1,0,1,1,0
"75",3,1,1,1,0,0
"76",3,1,0,1,0,1
"77",2,1,0,1,0,0
"78",3,1,0,0,1,1
"79",3,1,0,0,1,1
"80",4,1,1,1,0,1
"81",4,1,1,0,1,1
"82",2,0,1,0,0,1
"83",2,0,1,1,0,0
"84",1,0,0,0,1,0
"85",4,1,1,1,0,1
"86",1,1,0,0,0,0
"87",2,0,1,0,1,0
"88",3,0,1,0,1,1
"89",4,1,0,1,1,1
"90",5,1,1,1,1,1
"91",3,0,1,1,0,1
"92",4,0,1,1,1,1
"93",1,0,0,1,0,0
"94",1,0,0,1,0,0
"95",2,1,1,0,0,0
"96",3,0,1,0,1,1
"97",3,1,0,0,1,1
"98",2,0,0,1,0,1
"99",3,1,1,0,0,1
"100",1,0,0,0,1,0
