"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",2,1,0,1,0,0
"2",4,1,1,1,0,1
"3",2,1,0,0,1,0
"4",4,1,1,1,0,1
"5",2,1,0,1,0,0
"6",3,0,1,0,1,1
"7",3,0,1,1,0,1
"8",3,1,0,0,1,1
"9",1,1,0,0,0,0
"10",2,1,0,0,1,0
"11",2,0,1,1,0,0
"12",2,0,1,0,1,0
"13",2,0,1,1,0,0
"14",3,0,1,1,0,1
"15",0,0,0,0,0,0
"16",2,1,0,0,0,1
"17",5,1,1,1,1,1
"18",4,1,1,1,0,1
"19",2,1,0,1,0,0
"20",3,0,1,1,1,0
"21",5,1,1,1,1,1
"22",2,0,0,0,1,1
"23",3,1,1,0,0,1
"24",3,0,0,1,1,1
"25",3,0,0,1,1,1
"26",2,0,0,0,1,1
"27",1,0,0,1,0,0
"28",5,1,1,1,1,1
"29",3,1,1,0,1,0
"30",3,1,0,0,1,1
"31",3,0,1,1,0,1
"32",5,1,1,1,1,1
"33",3,0,1,1,1,0
"34",4,1,0,1,1,1
"35",4,1,1,1,1,0
"36",3,0,1,1,1,0
"37",4,1,1,1,0,1
"38",2,1,0,0,0,1
"39",3,1,1,0,0,1
"40",1,0,0,0,1,0
"41",4,0,1,1,1,1
"42",0,0,0,0,0,0
"43",2,0,0,1,0,1
"44",2,1,0,0,1,0
"45",3,0,1,1,0,1
"46",3,1,0,1,0,1
"47",1,0,0,0,1,0
"48",4,1,0,1,1,1
"49",2,1,0,0,0,1
"50",1,0,0,0,0,1
"51",3,1,1,0,0,1
"52",2,0,1,1,0,0
"53",1,0,0,0,0,1
"54",1,0,0,0,0,1
"55",1,1,0,0,0,0
"56",3,1,1,1,0,0
"57",1,0,1,0,0,0
"58",1,0,0,0,0,1
"59",1,0,1,0,0,0
"60",2,1,0,0,0,1
"61",2,1,0,0,1,0
"62",2,0,1,1,0,0
"63",3,0,0,1,1,1
"64",3,1,0,1,0,1
"65",2,0,0,1,0,1
"66",2,0,1,0,1,0
"67",1,0,0,0,1,0
"68",2,0,0,1,1,0
"69",2,1,0,0,1,0
"70",2,1,1,0,0,0
"71",3,0,1,0,1,1
"72",4,1,1,0,1,1
"73",3,1,1,0,0,1
"74",3,0,1,1,1,0
"75",2,0,0,0,1,1
"76",2,0,0,0,1,1
"77",3,0,0,1,1,1
"78",1,0,1,0,0,0
"79",2,0,0,1,0,1
"80",4,1,1,1,1,0
"81",3,1,1,0,1,0
"82",3,1,1,0,1,0
"83",3,0,1,1,0,1
"84",1,0,1,0,0,0
"85",2,0,1,0,1,0
"86",3,0,1,0,1,1
"87",2,0,1,1,0,0
"88",5,1,1,1,1,1
"89",5,1,1,1,1,1
"90",3,1,0,1,0,1
"91",2,1,0,1,0,0
"92",2,1,1,0,0,0
"93",3,0,0,1,1,1
"94",2,1,1,0,0,0
"95",2,0,1,1,0,0
"96",1,0,0,0,1,0
"97",3,0,1,0,1,1
"98",2,0,0,0,1,1
"99",2,0,0,0,1,1
"100",3,1,0,0,1,1
