"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",4,1,0,0,0,1,0,1,0,0,1
"2",6,1,1,0,1,0,1,1,1,0,0
"3",6,0,1,0,1,0,0,1,1,1,1
"4",3,0,0,0,0,0,1,1,1,0,0
"5",5,1,0,0,0,1,1,0,1,1,0
"6",6,1,1,1,0,0,0,1,1,1,0
"7",5,1,0,0,1,1,1,0,0,1,0
"8",4,0,1,1,1,0,0,1,0,0,0
"9",4,0,0,1,1,1,0,0,0,0,1
"10",5,0,1,1,0,0,1,1,0,0,1
"11",5,0,1,0,0,0,1,1,1,1,0
"12",2,0,0,0,1,0,0,0,0,1,0
"13",4,0,0,1,0,1,0,1,0,1,0
"14",6,0,1,0,1,1,1,1,0,1,0
"15",5,0,1,1,1,0,1,0,0,0,1
"16",5,0,1,1,1,0,1,0,0,0,1
"17",2,0,0,0,0,1,0,0,0,1,0
"18",3,0,0,0,0,0,1,0,1,1,0
"19",5,0,0,1,1,0,0,0,1,1,1
"20",5,0,0,1,1,1,0,1,0,0,1
