"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",4,1,1,1,0,0,0,0,0,0,1
"2",1,0,0,0,0,1,0,0,0,0,0
"3",6,0,1,1,0,1,0,0,1,1,1
"4",5,0,1,1,0,0,1,1,0,0,1
"5",5,0,0,1,0,1,1,0,0,1,1
"6",6,1,0,1,1,1,1,1,0,0,0
"7",5,1,1,0,0,1,0,1,0,0,1
"8",5,0,1,0,0,1,1,0,0,1,1
"9",5,1,1,0,1,1,0,1,0,0,0
"10",3,0,0,1,0,0,1,0,0,0,1
"11",5,1,1,0,0,1,1,0,0,0,1
"12",1,0,0,0,0,0,0,0,0,1,0
"13",6,1,1,1,0,1,1,0,0,1,0
"14",7,1,1,1,0,1,0,0,1,1,1
"15",2,0,0,0,0,0,0,0,1,1,0
"16",3,0,0,1,0,1,0,1,0,0,0
"17",1,1,0,0,0,0,0,0,0,0,0
"18",4,0,0,1,1,0,0,1,0,0,1
"19",4,0,0,1,1,0,1,0,0,0,1
"20",6,0,1,1,0,1,0,1,1,1,0
"21",6,0,0,0,1,1,1,1,1,1,0
"22",7,1,1,0,1,1,0,1,1,1,0
"23",7,1,0,1,0,1,0,1,1,1,1
"24",7,1,0,1,0,1,1,1,1,1,0
"25",4,1,0,1,0,1,0,0,0,1,0
"26",5,0,0,1,0,0,1,1,1,0,1
"27",7,0,0,1,0,1,1,1,1,1,1
"28",6,1,0,0,1,0,0,1,1,1,1
"29",4,1,0,0,0,0,1,0,0,1,1
"30",6,0,1,1,1,1,0,0,1,0,1
"31",5,0,1,0,1,1,1,0,1,0,0
"32",6,0,1,1,0,0,1,1,1,0,1
"33",6,1,1,1,1,1,0,0,1,0,0
"34",8,0,1,1,1,1,0,1,1,1,1
"35",6,0,0,1,1,1,0,1,1,0,1
"36",3,0,0,0,1,0,0,1,1,0,0
"37",5,0,1,0,1,0,1,1,1,0,0
"38",3,0,1,0,0,0,0,0,1,1,0
"39",7,1,0,1,1,1,1,0,0,1,1
"40",5,0,1,0,1,0,1,1,1,0,0
"41",8,0,1,0,1,1,1,1,1,1,1
"42",2,1,0,0,0,0,0,0,0,1,0
"43",7,0,0,1,0,1,1,1,1,1,1
"44",4,1,0,1,0,1,1,0,0,0,0
"45",5,1,1,0,0,1,1,0,1,0,0
"46",6,1,1,1,0,1,1,0,0,1,0
"47",5,0,1,0,0,1,1,1,0,1,0
"48",3,1,0,1,0,0,1,0,0,0,0
"49",6,0,1,1,1,1,1,0,0,0,1
"50",6,1,0,0,0,1,1,0,1,1,1
"51",2,1,0,1,0,0,0,0,0,0,0
"52",4,0,1,1,1,0,0,0,0,0,1
"53",5,0,0,1,1,1,1,1,0,0,0
"54",6,0,1,0,1,1,0,1,1,1,0
"55",7,1,1,1,0,1,1,1,0,1,0
"56",9,1,0,1,1,1,1,1,1,1,1
"57",4,0,1,1,0,0,0,0,1,1,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",3,1,0,0,1,0,1,0,0,0,0
"60",6,1,0,1,1,0,1,1,0,1,0
"61",5,0,0,0,0,0,1,1,1,1,1
"62",5,0,1,1,0,1,1,1,0,0,0
"63",5,0,1,0,0,0,1,1,0,1,1
"64",7,0,1,1,1,1,1,1,1,0,0
"65",6,1,1,0,0,1,1,1,0,1,0
"66",4,1,1,1,0,0,0,0,0,0,1
"67",6,0,1,0,1,1,0,1,1,1,0
"68",7,1,0,0,0,1,1,1,1,1,1
"69",5,0,0,0,1,1,0,1,1,1,0
"70",6,1,0,0,1,0,1,1,0,1,1
"71",4,1,0,0,1,0,0,1,1,0,0
"72",5,0,1,0,0,1,0,0,1,1,1
"73",7,0,0,1,1,1,1,0,1,1,1
"74",5,0,1,0,1,0,1,0,1,1,0
"75",5,1,0,0,0,0,1,0,1,1,1
"76",5,1,0,1,0,1,1,0,1,0,0
"77",5,1,1,0,0,1,1,0,0,1,0
"78",5,0,0,1,1,0,1,1,0,0,1
"79",5,0,1,0,1,0,1,0,1,0,1
"80",7,0,1,1,1,0,1,1,1,1,0
"81",4,1,0,0,1,0,0,0,1,1,0
"82",3,0,0,1,0,0,0,1,0,0,1
"83",6,0,0,1,1,0,1,1,1,1,0
"84",4,0,0,0,1,0,0,1,1,1,0
"85",6,1,1,1,0,0,0,1,1,1,0
"86",3,0,0,0,1,0,0,0,1,0,1
"87",7,1,0,1,1,1,1,1,0,0,1
"88",8,1,1,1,0,1,1,1,1,0,1
"89",4,1,1,0,0,1,1,0,0,0,0
"90",7,0,1,1,1,1,1,1,0,0,1
"91",5,0,0,1,0,0,1,0,1,1,1
"92",6,0,0,1,1,1,1,1,0,1,0
"93",5,1,1,1,0,0,1,0,0,0,1
"94",5,1,0,0,1,0,0,1,0,1,1
"95",5,1,0,0,1,0,1,1,0,1,0
"96",4,1,0,0,1,1,0,0,0,0,1
"97",4,1,0,1,1,0,0,1,0,0,0
"98",6,0,0,1,0,1,1,0,1,1,1
"99",5,1,1,1,0,0,1,1,0,0,0
"100",9,1,1,1,1,1,1,1,1,0,1
