"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",4,0,0,1,1,1,0,0,0,0,1
"2",6,1,0,0,0,1,1,1,1,1,0
"3",4,0,1,0,0,1,1,0,0,0,1
"4",4,1,0,1,0,0,0,1,1,0,0
"5",4,0,0,0,1,0,1,0,0,1,1
"6",4,0,0,0,0,1,1,1,1,0,0
"7",4,1,0,0,0,0,1,1,1,0,0
"8",4,1,0,0,1,1,0,0,1,0,0
"9",4,1,0,0,1,0,1,0,1,0,0
"10",4,0,1,1,0,0,1,0,0,1,0
"11",6,0,0,0,1,1,1,0,1,1,1
"12",3,0,0,0,0,1,0,0,0,1,1
"13",4,1,0,1,0,0,0,1,1,0,0
"14",3,0,1,0,1,0,1,0,0,0,0
"15",5,1,1,1,0,0,0,0,1,1,0
"16",8,1,0,1,1,0,1,1,1,1,1
"17",7,1,1,1,0,1,1,1,1,0,0
"18",5,0,1,1,0,1,0,1,1,0,0
"19",7,0,1,1,1,0,1,0,1,1,1
"20",7,1,0,1,1,0,1,1,1,0,1
"21",3,0,0,1,0,1,0,1,0,0,0
"22",6,1,0,1,1,1,0,0,0,1,1
"23",5,0,0,1,1,0,1,1,1,0,0
"24",7,1,1,1,1,0,1,0,1,1,0
"25",4,1,0,1,1,0,0,0,1,0,0
"26",7,1,0,1,1,0,1,1,1,1,0
"27",5,0,0,1,1,1,1,0,0,1,0
"28",4,1,0,0,0,0,0,1,0,1,1
"29",6,0,0,1,1,1,1,1,0,1,0
"30",6,1,1,0,0,1,0,1,1,0,1
"31",7,1,0,0,1,1,1,0,1,1,1
"32",3,0,0,0,0,0,1,0,0,1,1
"33",2,1,0,0,0,1,0,0,0,0,0
"34",2,0,0,0,1,0,0,0,1,0,0
"35",7,1,0,0,1,1,1,1,1,0,1
"36",4,1,0,1,0,1,0,0,0,1,0
"37",6,1,0,1,1,1,1,0,0,1,0
"38",5,0,0,1,1,0,0,1,1,1,0
"39",7,1,1,0,0,1,1,1,1,0,1
"40",4,0,1,0,1,0,1,0,0,1,0
"41",7,1,0,0,1,1,1,1,1,0,1
"42",6,1,0,1,0,1,1,1,0,1,0
"43",4,0,0,0,0,1,1,0,0,1,1
"44",4,0,1,0,0,0,1,1,0,1,0
"45",6,0,1,1,0,1,1,1,1,0,0
"46",7,1,1,0,0,1,1,1,1,0,1
"47",7,0,1,1,1,1,0,1,1,1,0
"48",5,0,0,1,0,0,1,0,1,1,1
"49",2,1,0,0,1,0,0,0,0,0,0
"50",5,1,0,1,0,1,1,0,0,1,0
"51",8,1,1,0,1,1,0,1,1,1,1
"52",3,0,0,1,1,0,0,1,0,0,0
"53",4,0,1,0,0,1,0,0,0,1,1
"54",5,1,1,0,0,0,0,0,1,1,1
"55",5,0,1,0,0,1,0,0,1,1,1
"56",5,1,1,0,0,0,0,1,0,1,1
"57",5,0,1,1,1,0,1,0,0,1,0
"58",7,0,1,0,1,1,1,1,1,0,1
"59",3,0,0,0,1,0,1,0,0,0,1
"60",7,0,1,1,1,1,1,1,0,1,0
"61",7,0,1,1,0,1,1,0,1,1,1
"62",5,1,1,1,0,0,0,1,1,0,0
"63",8,1,1,1,1,1,0,1,1,0,1
"64",2,0,1,0,0,0,0,1,0,0,0
"65",5,1,1,1,1,0,0,0,0,0,1
"66",5,0,1,1,0,0,0,0,1,1,1
"67",7,1,0,0,0,1,1,1,1,1,1
"68",5,0,1,1,0,0,0,1,0,1,1
"69",5,0,1,1,0,1,0,1,1,0,0
"70",6,0,1,1,1,1,0,0,1,0,1
"71",7,1,1,1,0,1,0,1,1,1,0
"72",3,0,0,0,0,1,1,0,1,0,0
"73",5,1,0,0,1,1,1,1,0,0,0
"74",7,1,1,1,0,0,0,1,1,1,1
"75",3,1,0,0,0,1,0,0,1,0,0
"76",9,1,1,1,0,1,1,1,1,1,1
"77",7,1,0,1,1,1,0,1,0,1,1
"78",5,1,1,1,1,0,0,0,0,1,0
"79",4,1,0,0,0,1,0,0,0,1,1
"80",4,0,0,0,1,1,1,0,0,1,0
"81",4,0,0,1,0,0,0,1,0,1,1
"82",5,0,0,1,0,1,1,1,0,0,1
"83",3,0,0,1,1,1,0,0,0,0,0
"84",3,0,1,0,0,1,1,0,0,0,0
"85",4,0,1,0,0,1,0,1,0,1,0
"86",6,0,0,1,1,1,1,1,1,0,0
"87",8,1,0,1,1,1,1,1,0,1,1
"88",7,1,1,1,0,0,0,1,1,1,1
"89",6,0,1,1,1,1,1,0,0,0,1
"90",8,1,1,1,0,0,1,1,1,1,1
"91",6,1,0,0,0,0,1,1,1,1,1
"92",3,0,0,0,0,0,1,1,0,1,0
"93",5,1,0,1,1,0,1,0,0,1,0
"94",6,1,1,1,0,0,1,1,0,0,1
"95",6,1,1,1,1,0,0,0,1,1,0
"96",6,0,1,1,0,0,1,1,0,1,1
"97",4,1,0,1,0,0,0,0,1,0,1
"98",6,0,1,1,1,0,0,1,1,1,0
"99",3,0,0,1,1,0,0,1,0,0,0
"100",4,1,0,1,1,1,0,0,0,0,0
