"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,0,1,1,1,0
"2",4,1,1,0,1,1
"3",4,1,1,1,1,0
"4",3,1,0,1,0,1
"5",1,0,0,1,0,0
"6",1,0,0,0,0,1
"7",2,0,1,1,0,0
"8",3,0,1,0,1,1
"9",1,1,0,0,0,0
"10",3,1,1,1,0,0
"11",1,0,1,0,0,0
"12",3,0,0,1,1,1
"13",1,0,1,0,0,0
"14",3,1,1,1,0,0
"15",4,0,1,1,1,1
"16",3,0,1,0,1,1
"17",2,1,0,0,1,0
"18",1,0,0,0,1,0
"19",3,0,1,1,0,1
"20",4,0,1,1,1,1
"21",3,1,1,0,0,1
"22",3,1,0,1,1,0
"23",1,0,0,0,0,1
"24",3,0,1,1,1,0
"25",2,0,0,1,1,0
"26",2,0,1,1,0,0
"27",4,0,1,1,1,1
"28",2,1,0,1,0,0
"29",0,0,0,0,0,0
"30",3,0,0,1,1,1
"31",2,0,0,1,1,0
"32",3,1,1,0,0,1
"33",2,0,0,1,0,1
"34",3,1,1,0,0,1
"35",3,1,1,1,0,0
"36",4,1,1,0,1,1
"37",3,0,1,1,1,0
"38",3,0,1,0,1,1
"39",2,0,0,1,1,0
"40",2,1,0,1,0,0
"41",3,0,0,1,1,1
"42",0,0,0,0,0,0
"43",3,1,0,0,1,1
"44",3,1,0,1,1,0
"45",2,0,0,1,1,0
"46",2,1,0,0,1,0
"47",2,1,0,0,1,0
"48",0,0,0,0,0,0
"49",2,0,1,0,0,1
"50",3,0,0,1,1,1
