"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",2,0,0,1,0,0,1,0,0,0,0
"2",5,0,0,1,1,1,1,1,0,0,0
"3",7,1,0,1,1,1,1,0,1,0,1
"4",6,0,1,0,1,1,1,0,0,1,1
"5",5,0,0,0,1,1,1,1,0,0,1
"6",7,1,1,1,1,1,1,0,1,0,0
"7",5,1,1,0,1,1,0,0,0,0,1
"8",8,1,0,1,0,1,1,1,1,1,1
"9",3,1,0,0,1,0,0,0,1,0,0
"10",6,0,0,1,1,1,1,0,1,1,0
"11",5,1,1,0,0,0,1,1,1,0,0
"12",5,1,0,1,0,0,1,0,1,0,1
"13",7,0,1,1,0,1,1,0,1,1,1
"14",5,1,1,0,0,0,1,0,1,0,1
"15",2,0,1,0,0,0,0,1,0,0,0
"16",6,1,0,1,0,1,1,1,1,0,0
"17",3,1,1,0,0,0,1,0,0,0,0
"18",6,1,1,0,1,0,0,1,0,1,1
"19",6,1,1,1,0,0,1,1,1,0,0
"20",5,0,0,1,1,1,0,1,0,1,0
"21",7,1,1,1,0,1,1,0,1,0,1
"22",6,1,1,0,1,1,0,0,1,0,1
"23",2,0,0,0,0,0,0,0,1,1,0
"24",5,1,0,1,0,1,0,0,1,0,1
"25",5,1,0,1,0,1,0,0,1,0,1
"26",6,1,1,0,1,1,0,0,1,0,1
"27",8,1,0,1,1,1,1,0,1,1,1
"28",4,0,1,1,0,0,1,1,0,0,0
"29",4,1,0,0,1,0,0,1,1,0,0
"30",6,1,0,1,0,0,1,1,1,1,0
"31",4,1,0,0,0,0,0,1,1,0,1
"32",2,0,0,0,0,0,0,1,1,0,0
"33",7,0,1,1,1,0,1,1,1,0,1
"34",8,1,1,1,1,0,1,1,1,0,1
"35",6,1,0,1,1,0,0,1,1,0,1
"36",5,1,0,1,1,1,0,0,0,0,1
"37",5,1,1,0,1,0,1,1,0,0,0
"38",4,1,1,0,0,0,1,0,1,0,0
"39",6,1,1,0,1,1,0,0,1,0,1
"40",6,0,0,1,1,1,0,1,1,1,0
"41",5,1,0,1,1,0,0,0,1,1,0
"42",5,0,0,1,0,0,0,1,1,1,1
"43",3,0,0,1,0,0,1,0,1,0,0
"44",5,0,0,1,1,1,0,0,0,1,1
"45",5,1,0,1,0,0,1,1,1,0,0
"46",7,1,0,1,1,1,0,1,1,0,1
"47",6,0,1,0,1,1,1,0,1,1,0
"48",3,0,1,0,1,0,0,1,0,0,0
"49",4,1,0,1,0,0,0,0,0,1,1
"50",7,0,1,1,1,0,1,0,1,1,1
"51",4,0,1,0,0,0,1,0,1,1,0
"52",6,1,0,1,1,0,1,1,0,1,0
"53",4,0,1,1,0,0,0,1,0,1,0
"54",3,1,0,0,1,0,0,0,1,0,0
"55",5,0,1,0,0,0,1,1,1,0,1
"56",7,0,1,1,1,1,1,1,1,0,0
"57",3,0,1,0,0,1,0,0,0,1,0
"58",7,0,1,1,1,1,1,0,0,1,1
"59",4,0,0,0,0,0,1,0,1,1,1
"60",6,1,0,0,1,0,1,1,1,1,0
"61",4,1,0,1,0,0,0,0,0,1,1
"62",3,1,0,0,0,0,0,1,0,0,1
"63",3,0,0,0,1,0,0,0,0,1,1
"64",4,1,0,0,0,0,1,1,0,1,0
"65",6,1,0,1,0,0,1,0,1,1,1
"66",5,0,1,0,0,1,1,1,0,0,1
"67",6,1,0,0,1,0,1,1,1,1,0
"68",7,0,1,0,1,0,1,1,1,1,1
"69",2,0,0,0,1,0,0,0,0,1,0
"70",5,0,0,0,1,1,0,1,1,1,0
"71",3,0,0,1,0,1,0,1,0,0,0
"72",5,0,0,1,1,0,1,1,0,1,0
"73",3,1,1,0,0,1,0,0,0,0,0
"74",4,1,0,0,0,0,0,1,1,1,0
"75",3,0,1,0,0,0,0,1,1,0,0
"76",6,1,1,1,0,0,0,1,1,0,1
"77",4,1,1,0,0,0,0,0,1,0,1
"78",3,0,0,0,1,0,0,1,1,0,0
"79",5,0,1,1,0,1,0,0,1,0,1
"80",5,1,0,1,1,0,0,1,0,0,1
"81",8,1,1,0,0,1,1,1,1,1,1
"82",4,1,1,0,0,1,0,0,1,0,0
"83",7,1,0,0,1,1,1,1,0,1,1
"84",6,0,0,0,1,1,1,1,1,1,0
"85",6,1,1,1,0,1,0,0,1,0,1
"86",4,1,0,0,0,0,1,0,1,1,0
"87",4,1,0,0,1,0,0,0,1,1,0
"88",8,1,0,1,1,1,1,1,0,1,1
"89",7,0,1,0,1,1,1,0,1,1,1
"90",5,1,0,1,0,0,1,1,1,0,0
"91",7,0,0,1,1,1,1,1,0,1,1
"92",5,0,1,1,0,0,1,1,0,1,0
"93",6,1,1,0,1,1,0,1,1,0,0
"94",3,1,0,0,0,1,0,0,1,0,0
"95",4,0,0,1,0,0,0,1,1,0,1
"96",6,0,1,1,0,0,1,1,1,1,0
"97",6,1,0,0,1,0,1,0,1,1,1
"98",7,1,0,1,1,1,1,1,1,0,0
"99",7,1,0,1,1,0,1,0,1,1,1
"100",6,0,1,1,0,1,1,0,1,1,0
