"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,0,1,0,1
"2",4,0,1,1,1,1
"3",3,1,0,1,1,0
"4",3,1,0,1,0,1
"5",5,1,1,1,1,1
"6",1,0,0,0,1,0
"7",1,0,1,0,0,0
"8",2,1,1,0,0,0
"9",3,0,0,1,1,1
"10",2,0,0,0,1,1
"11",2,1,1,0,0,0
"12",4,1,0,1,1,1
"13",3,0,1,1,0,1
"14",1,0,0,0,0,1
"15",2,0,0,1,0,1
"16",1,0,0,0,1,0
"17",3,0,1,1,1,0
"18",2,0,1,1,0,0
"19",1,0,0,0,1,0
"20",0,0,0,0,0,0
"21",1,1,0,0,0,0
"22",3,1,1,0,0,1
"23",3,1,1,1,0,0
"24",2,1,0,0,1,0
"25",2,1,0,0,0,1
"26",2,0,0,1,0,1
"27",3,1,1,0,1,0
"28",1,0,0,0,0,1
"29",3,1,0,1,1,0
"30",1,1,0,0,0,0
"31",5,1,1,1,1,1
"32",3,0,0,1,1,1
"33",3,1,1,1,0,0
"34",3,1,1,0,0,1
"35",2,0,0,0,1,1
"36",2,1,0,0,0,1
"37",3,1,1,1,0,0
"38",2,0,0,1,0,1
"39",2,0,1,0,1,0
"40",2,0,0,0,1,1
"41",1,0,0,0,1,0
"42",4,1,0,1,1,1
"43",3,1,1,1,0,0
"44",3,0,1,0,1,1
"45",2,0,0,1,0,1
"46",2,0,1,0,0,1
"47",2,1,0,0,0,1
"48",1,0,1,0,0,0
"49",2,0,0,1,0,1
"50",2,1,1,0,0,0
