"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",14,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
"2",10,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0
"3",6,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
"4",12,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0
"5",11,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1
"6",10,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0
"7",14,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1
"8",9,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0
"9",11,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0
"10",7,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
"11",11,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1
"12",13,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1
"13",8,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"14",10,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
"15",13,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"16",10,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
"17",13,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
"18",10,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0
"19",12,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"20",10,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0
"21",10,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0
"22",12,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0
"23",10,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1
"24",12,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1
"25",11,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0
"26",12,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1
"27",8,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1
"28",14,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1
"29",13,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1
"30",11,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0
"31",9,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
"32",13,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
"33",6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1
"34",11,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1
"35",12,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"36",12,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0
"37",6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
"38",8,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
"39",13,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0
"40",8,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
"41",8,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
"42",11,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0
"43",8,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0
"44",9,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1
"45",8,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0
"46",10,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0
"47",10,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1
"48",11,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0
"49",9,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1
"50",12,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1
