"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",1,0,0,0,1,0
"2",2,1,0,0,1,0
"3",3,1,1,0,0,1
"4",3,1,0,0,1,1
"5",2,1,0,0,0,1
"6",3,1,0,1,0,1
"7",2,1,0,0,0,1
"8",3,0,1,1,0,1
"9",2,0,1,0,1,0
"10",2,1,0,1,0,0
"11",3,1,0,1,1,0
"12",4,1,1,1,0,1
"13",5,1,1,1,1,1
"14",3,0,1,1,1,0
"15",1,0,1,0,0,0
"16",2,0,0,1,1,0
"17",3,1,1,0,1,0
"18",3,1,0,1,1,0
"19",3,0,1,0,1,1
"20",1,0,0,0,1,0
"21",1,1,0,0,0,0
"22",4,1,1,0,1,1
"23",3,1,1,0,1,0
"24",2,0,1,1,0,0
"25",3,0,0,1,1,1
"26",1,0,1,0,0,0
"27",3,0,1,1,0,1
"28",2,1,0,0,0,1
"29",5,1,1,1,1,1
"30",3,0,1,1,0,1
"31",4,1,1,0,1,1
"32",1,0,0,1,0,0
"33",3,1,1,0,1,0
"34",0,0,0,0,0,0
"35",2,0,0,0,1,1
"36",1,0,0,0,0,1
"37",3,1,1,0,1,0
"38",1,0,0,0,1,0
"39",1,0,0,1,0,0
"40",3,1,0,1,1,0
"41",3,0,1,1,1,0
"42",0,0,0,0,0,0
"43",2,0,1,0,0,1
"44",4,1,0,1,1,1
"45",1,1,0,0,0,0
"46",1,0,1,0,0,0
"47",2,0,1,0,1,0
"48",3,1,0,1,1,0
"49",1,0,1,0,0,0
"50",2,0,1,1,0,0
"51",2,1,0,0,0,1
"52",2,0,1,0,0,1
"53",3,1,0,1,0,1
"54",4,1,0,1,1,1
"55",3,0,1,1,0,1
"56",2,0,1,0,0,1
"57",3,1,1,1,0,0
"58",0,0,0,0,0,0
"59",3,1,0,1,1,0
"60",2,0,0,1,1,0
"61",4,1,1,1,0,1
"62",4,1,1,1,0,1
"63",3,1,0,1,1,0
"64",3,1,1,0,0,1
"65",3,1,0,0,1,1
"66",2,1,1,0,0,0
"67",2,1,0,0,0,1
"68",3,0,1,1,1,0
"69",2,0,0,1,1,0
"70",3,0,0,1,1,1
"71",3,1,1,1,0,0
"72",2,0,0,1,0,1
"73",3,1,0,1,0,1
"74",4,0,1,1,1,1
"75",3,1,1,1,0,0
"76",3,1,1,1,0,0
"77",1,0,0,1,0,0
"78",1,0,0,1,0,0
"79",5,1,1,1,1,1
"80",3,1,1,0,1,0
"81",4,1,1,1,0,1
"82",4,1,1,1,1,0
"83",2,0,1,0,0,1
"84",3,1,1,1,0,0
"85",3,1,0,1,0,1
"86",4,0,1,1,1,1
"87",4,1,0,1,1,1
"88",3,1,1,0,0,1
"89",2,0,0,0,1,1
"90",4,1,1,0,1,1
"91",3,1,0,0,1,1
"92",2,0,1,1,0,0
"93",3,1,0,1,1,0
"94",5,1,1,1,1,1
"95",3,1,0,1,1,0
"96",4,0,1,1,1,1
"97",2,1,1,0,0,0
"98",3,0,1,0,1,1
"99",3,0,1,1,0,1
"100",3,0,1,0,1,1
