"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"3",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"4",4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"5",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"6",3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"7",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"8",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"9",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"10",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"12",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"15",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"16",4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"17",4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"18",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"19",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"20",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"21",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23",3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"24",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"25",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"26",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"34",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"35",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"37",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"39",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"40",3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"41",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
