"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,1,1,0,0
"2",2,0,1,1,0,0
"3",5,1,1,1,1,1
"4",3,1,0,1,1,0
"5",2,1,1,0,0,0
"6",2,1,0,0,1,0
"7",2,0,1,0,1,0
"8",3,1,0,0,1,1
"9",2,1,1,0,0,0
"10",4,1,1,1,0,1
"11",3,1,0,0,1,1
"12",4,0,1,1,1,1
"13",1,0,0,1,0,0
"14",4,1,0,1,1,1
"15",4,0,1,1,1,1
"16",3,1,0,1,0,1
"17",2,0,1,0,0,1
"18",1,0,0,0,1,0
"19",2,1,0,1,0,0
"20",2,0,1,0,0,1
"21",5,1,1,1,1,1
"22",3,0,0,1,1,1
"23",0,0,0,0,0,0
"24",4,1,1,0,1,1
"25",2,1,1,0,0,0
"26",1,0,0,1,0,0
"27",1,0,0,1,0,0
"28",1,1,0,0,0,0
"29",3,1,0,1,1,0
"30",2,0,1,0,0,1
"31",2,0,1,0,1,0
"32",4,1,1,1,0,1
"33",1,0,1,0,0,0
"34",2,1,0,0,1,0
"35",4,1,1,1,1,0
"36",2,0,1,1,0,0
"37",0,0,0,0,0,0
"38",2,1,0,1,0,0
"39",3,1,1,0,0,1
"40",4,1,1,0,1,1
"41",2,0,0,0,1,1
"42",3,0,1,0,1,1
"43",3,0,1,0,1,1
"44",4,1,0,1,1,1
"45",3,1,1,0,0,1
"46",2,0,1,0,1,0
"47",2,0,1,0,0,1
"48",2,0,0,1,0,1
"49",3,1,0,1,0,1
"50",4,1,0,1,1,1
