"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",3,0,0,0,0,0,1,1,1,0,0
"2",4,1,0,0,1,0,1,0,0,1,0
"3",5,1,0,0,1,0,1,1,0,1,0
"4",3,0,1,1,0,0,0,0,0,1,0
"5",6,1,0,1,0,1,1,1,0,1,0
"6",4,1,1,0,1,0,1,0,0,0,0
"7",7,1,0,1,1,0,1,1,0,1,1
"8",3,0,0,0,0,0,1,0,1,0,1
"9",6,1,1,0,1,0,1,1,0,0,1
"10",3,0,0,0,0,0,0,1,1,1,0
"11",4,0,1,1,0,0,1,1,0,0,0
"12",4,0,1,0,0,0,1,0,1,1,0
"13",7,1,1,0,1,0,1,0,1,1,1
"14",2,0,0,1,0,0,1,0,0,0,0
"15",5,1,0,0,0,1,1,1,0,1,0
"16",5,0,1,1,0,1,1,1,0,0,0
"17",3,1,0,0,0,0,0,1,0,0,1
"18",6,1,1,0,1,0,1,0,1,0,1
"19",7,1,1,0,1,1,1,0,1,0,1
"20",2,1,0,0,0,0,0,0,0,1,0
