"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",5,1,1,1,1,1
"2",1,0,0,0,1,0
"3",4,0,1,1,1,1
"4",5,1,1,1,1,1
"5",1,1,0,0,0,0
"6",2,0,0,1,1,0
"7",4,1,1,1,0,1
"8",3,1,1,1,0,0
"9",3,1,1,0,0,1
"10",4,1,1,1,0,1
"11",3,1,1,0,1,0
"12",4,0,1,1,1,1
"13",1,0,1,0,0,0
"14",2,1,1,0,0,0
"15",3,1,1,0,1,0
"16",3,0,1,0,1,1
"17",3,0,1,1,0,1
"18",3,0,1,1,1,0
"19",1,0,0,0,0,1
"20",4,1,1,0,1,1
"21",2,1,1,0,0,0
"22",3,1,1,0,1,0
"23",5,1,1,1,1,1
"24",0,0,0,0,0,0
"25",1,1,0,0,0,0
"26",4,1,1,0,1,1
"27",1,0,0,0,0,1
"28",3,1,0,0,1,1
"29",3,1,1,0,0,1
"30",1,0,0,1,0,0
"31",3,1,0,1,1,0
"32",2,0,0,1,0,1
"33",2,0,1,0,0,1
"34",4,1,1,1,0,1
"35",1,0,0,0,1,0
"36",2,1,1,0,0,0
"37",2,0,1,0,1,0
"38",3,1,0,1,1,0
"39",3,0,1,1,0,1
"40",3,0,0,1,1,1
"41",3,1,0,1,0,1
"42",4,1,1,1,1,0
"43",3,1,1,1,0,0
"44",4,1,1,1,0,1
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",1,0,1,0,0,0
"48",3,1,0,1,1,0
"49",2,1,0,1,0,0
"50",1,0,0,0,0,1
"51",3,1,1,0,0,1
"52",3,1,1,0,1,0
"53",3,1,0,0,1,1
"54",4,1,1,0,1,1
"55",2,1,1,0,0,0
"56",2,1,0,1,0,0
"57",2,1,0,1,0,0
"58",2,0,0,1,1,0
"59",2,0,0,1,1,0
"60",2,1,0,0,1,0
"61",4,1,1,0,1,1
"62",3,1,1,0,1,0
"63",3,1,0,1,0,1
"64",3,1,1,0,0,1
"65",3,0,0,1,1,1
"66",4,1,0,1,1,1
"67",3,0,1,1,1,0
"68",3,1,0,1,1,0
"69",3,1,0,0,1,1
"70",3,0,0,1,1,1
"71",1,0,0,1,0,0
"72",3,0,0,1,1,1
"73",2,1,0,1,0,0
"74",2,0,1,0,1,0
"75",0,0,0,0,0,0
"76",3,0,1,1,0,1
"77",3,1,1,1,0,0
"78",2,0,1,0,0,1
"79",3,1,1,0,1,0
"80",3,0,0,1,1,1
"81",3,0,1,1,0,1
"82",3,1,1,0,1,0
"83",3,1,0,1,1,0
"84",4,1,1,1,1,0
"85",3,0,0,1,1,1
"86",4,1,1,1,1,0
"87",4,1,0,1,1,1
"88",1,1,0,0,0,0
"89",0,0,0,0,0,0
"90",3,1,0,1,1,0
"91",2,0,0,1,1,0
"92",4,0,1,1,1,1
"93",3,0,1,1,0,1
"94",2,1,0,0,1,0
"95",1,0,0,1,0,0
"96",2,0,0,1,1,0
"97",2,0,1,0,0,1
"98",1,0,0,0,1,0
"99",2,0,0,1,0,1
"100",3,0,0,1,1,1
