"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",1,0,0,0,0,1
"2",5,1,1,1,1,1
"3",1,0,0,0,0,1
"4",2,0,1,1,0,0
"5",3,1,0,1,1,0
"6",4,1,1,0,1,1
"7",1,0,0,1,0,0
"8",5,1,1,1,1,1
"9",1,0,1,0,0,0
"10",5,1,1,1,1,1
"11",2,0,0,1,1,0
"12",1,0,0,0,0,1
"13",3,1,0,0,1,1
"14",2,0,0,0,1,1
"15",4,0,1,1,1,1
"16",1,0,0,0,1,0
"17",3,1,1,0,0,1
"18",2,0,0,0,1,1
"19",2,0,0,1,1,0
"20",1,1,0,0,0,0
"21",2,0,0,0,1,1
"22",0,0,0,0,0,0
"23",3,1,1,0,1,0
"24",3,1,0,1,0,1
"25",2,1,0,0,1,0
"26",3,1,0,1,0,1
"27",1,0,0,1,0,0
"28",2,1,0,0,0,1
"29",2,0,1,1,0,0
"30",2,1,0,0,1,0
"31",2,1,0,1,0,0
"32",2,1,0,0,1,0
"33",3,0,0,1,1,1
"34",1,0,0,0,1,0
"35",2,1,0,0,1,0
"36",2,0,1,1,0,0
"37",2,1,0,0,0,1
"38",2,1,0,0,1,0
"39",4,1,1,0,1,1
"40",2,1,0,0,1,0
"41",3,1,0,0,1,1
"42",4,0,1,1,1,1
"43",1,0,1,0,0,0
"44",2,1,1,0,0,0
"45",3,1,1,0,0,1
"46",4,1,0,1,1,1
"47",4,1,1,1,1,0
"48",3,1,1,0,0,1
"49",1,0,0,0,0,1
"50",3,0,1,1,0,1
