"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",15,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
"2",12,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1
"3",15,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0
"4",9,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
"5",13,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1
"6",8,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"7",11,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0
"8",14,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"9",15,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1
"10",6,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
"11",12,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1
"12",12,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1
"13",12,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0
"14",8,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
"15",8,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0
"16",6,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
"17",12,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1
"18",9,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"19",9,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1
"20",9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1
"21",6,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"22",7,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
"23",13,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1
"24",9,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0
"25",12,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0
"26",13,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1
"27",9,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
"28",11,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
"29",12,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0
"30",8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
"31",10,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1
"32",6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
"33",12,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1
"34",12,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1
"35",13,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1
"36",10,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
"37",12,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0
"38",5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"39",7,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"40",9,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
"41",8,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
"42",8,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0
"43",8,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
"44",8,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
"45",11,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1
"46",8,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1
"47",13,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1
"48",9,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
"49",12,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
"50",7,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0
"51",10,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1
"52",11,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1
"53",7,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0
"54",10,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0
"55",10,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0
"56",5,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"57",11,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
"58",8,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
