"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",4,0,0,0,1,1,0,1,0,0,1
"2",6,1,1,0,1,1,1,0,0,1,0
"3",4,1,0,1,0,1,0,0,0,0,1
"4",3,0,0,1,1,0,1,0,0,0,0
"5",1,0,0,0,1,0,0,0,0,0,0
"6",4,0,1,0,0,0,0,1,1,0,1
"7",5,1,0,0,1,0,1,0,1,1,0
"8",5,0,1,1,1,0,0,0,1,0,1
"9",5,0,1,1,0,0,0,1,0,1,1
"10",3,1,0,0,0,1,0,0,0,0,1
"11",6,0,1,1,0,1,1,1,0,0,1
"12",4,0,0,1,1,0,0,0,1,0,1
"13",8,0,1,1,1,1,1,0,1,1,1
"14",7,1,1,0,1,1,0,1,0,1,1
"15",7,0,1,1,1,1,0,1,1,1,0
"16",5,0,1,1,0,1,0,1,0,0,1
"17",6,1,0,1,0,1,1,1,1,0,0
"18",5,0,0,1,1,1,0,1,0,1,0
"19",7,0,1,1,1,0,1,1,1,0,1
"20",6,1,0,0,1,1,0,1,1,0,1
"21",6,1,1,1,1,0,0,0,1,0,1
"22",4,0,1,1,1,0,0,0,0,0,1
"23",3,1,0,0,1,0,0,0,1,0,0
"24",4,1,0,1,0,0,0,1,0,0,1
"25",4,0,0,0,1,0,0,0,1,1,1
"26",5,1,0,0,0,1,1,1,0,0,1
"27",4,1,0,1,0,1,0,1,0,0,0
"28",5,0,0,1,1,0,0,0,1,1,1
"29",5,0,1,0,1,0,0,0,1,1,1
"30",8,1,1,1,1,1,1,0,1,1,0
"31",8,1,1,1,1,1,1,0,1,0,1
"32",6,1,0,0,1,1,1,1,1,0,0
"33",6,1,1,1,0,0,0,1,0,1,1
"34",3,1,0,0,0,1,0,1,0,0,0
"35",7,1,1,1,1,0,1,0,1,0,1
"36",5,1,0,1,1,1,1,0,0,0,0
"37",3,0,0,1,0,1,0,1,0,0,0
"38",5,1,0,0,0,1,0,1,1,1,0
"39",5,1,0,1,0,0,1,1,0,1,0
"40",7,1,1,0,1,1,1,1,0,0,1
"41",3,0,0,1,0,1,1,0,0,0,0
"42",4,0,1,0,1,0,0,1,1,0,0
"43",2,0,0,0,0,1,0,0,1,0,0
"44",8,1,0,1,1,1,1,0,1,1,1
"45",3,0,1,0,0,0,1,0,0,1,0
"46",5,1,0,1,0,1,0,1,0,1,0
"47",6,1,0,1,0,0,1,0,1,1,1
"48",7,0,1,1,1,1,1,0,1,0,1
"49",3,0,1,0,0,1,0,0,0,1,0
"50",7,1,1,1,1,0,1,0,0,1,1
