"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",10,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1
"2",7,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
"3",9,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
"4",7,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
"5",14,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"6",8,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
"7",8,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"8",6,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"9",8,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"10",6,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
"11",10,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1
"12",9,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0
"13",11,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0
"14",16,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
"15",8,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
"16",12,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1
"17",9,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1
"18",11,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
"19",8,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"20",10,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1
