"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",5,1,1,1,1,1
"2",3,0,1,1,0,1
"3",3,1,1,0,1,0
"4",3,0,1,0,1,1
"5",3,1,0,1,0,1
"6",1,0,0,1,0,0
"7",3,1,0,0,1,1
"8",2,0,1,0,0,1
"9",2,1,1,0,0,0
"10",4,1,1,0,1,1
"11",4,0,1,1,1,1
"12",3,1,0,1,1,0
"13",3,0,1,0,1,1
"14",2,0,1,1,0,0
"15",3,1,1,0,1,0
"16",2,0,0,1,1,0
"17",4,1,1,1,0,1
"18",3,1,1,0,1,0
"19",2,1,0,0,0,1
"20",3,1,0,1,1,0
"21",1,0,0,1,0,0
"22",3,1,0,1,0,1
"23",1,1,0,0,0,0
"24",3,1,0,0,1,1
"25",2,1,0,1,0,0
"26",2,0,0,1,0,1
"27",4,1,0,1,1,1
"28",3,1,0,1,1,0
"29",2,1,0,1,0,0
"30",2,0,0,0,1,1
"31",5,1,1,1,1,1
"32",3,0,1,0,1,1
"33",2,1,0,0,0,1
"34",3,0,1,0,1,1
"35",1,0,0,0,1,0
"36",3,1,1,0,0,1
"37",3,1,1,0,0,1
"38",3,1,1,0,0,1
"39",2,1,0,0,0,1
"40",1,0,0,0,0,1
"41",2,1,0,0,1,0
"42",2,1,1,0,0,0
"43",3,0,1,1,0,1
"44",2,0,1,0,1,0
"45",3,1,0,0,1,1
"46",3,1,0,1,0,1
"47",2,1,0,0,0,1
"48",0,0,0,0,0,0
"49",1,1,0,0,0,0
"50",4,1,0,1,1,1
