"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"2",4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"3",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"4",3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"5",4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"12",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"14",4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"15",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"17",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"20",4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"21",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"23",3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"24",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"25",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"27",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"28",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"29",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"30",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"31",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"32",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"34",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"35",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"36",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"38",3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"39",4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"40",3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"41",3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"42",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"44",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"45",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"46",3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"47",3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"48",3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"49",4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"50",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"51",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"52",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"53",3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"54",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"55",5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"56",4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"57",3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"59",4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"60",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
