"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",6,1,0,1,1,0,1,0,1,0,1
"2",4,0,0,0,0,1,1,1,1,0,0
"3",6,1,0,0,1,1,1,0,1,1,0
"4",5,0,0,1,0,1,1,1,0,0,1
"5",7,1,1,1,1,0,0,0,1,1,1
"6",3,1,0,0,0,0,1,1,0,0,0
"7",5,0,0,1,0,1,1,0,1,0,1
"8",7,1,0,1,0,1,1,0,1,1,1
"9",4,1,1,1,0,0,0,1,0,0,0
"10",7,0,0,1,1,1,1,1,1,1,0
"11",8,1,1,1,1,0,1,1,0,1,1
"12",5,0,1,1,1,0,1,0,0,1,0
"13",6,1,0,0,0,1,1,1,1,0,1
"14",8,1,1,1,1,0,1,1,1,1,0
"15",5,0,0,1,1,1,0,0,1,0,1
"16",4,1,0,0,1,0,0,1,1,0,0
"17",3,0,0,0,0,1,0,0,1,0,1
"18",5,1,0,0,0,0,0,1,1,1,1
"19",6,0,0,1,1,1,0,1,0,1,1
"20",7,1,0,1,1,1,0,1,1,0,1
"21",5,1,0,0,0,1,0,0,1,1,1
"22",6,1,0,0,1,1,0,1,1,0,1
"23",6,1,1,1,0,1,0,1,0,1,0
"24",6,0,0,0,0,1,1,1,1,1,1
"25",5,1,0,1,0,0,1,1,0,0,1
"26",3,0,0,1,0,0,0,0,1,1,0
"27",4,0,1,0,0,0,1,0,0,1,1
"28",2,1,0,0,0,0,1,0,0,0,0
"29",5,1,1,1,0,0,0,1,1,0,0
"30",3,0,0,0,0,1,1,0,1,0,0
"31",8,0,1,1,0,1,1,1,1,1,1
"32",6,1,0,1,0,0,1,1,1,0,1
"33",5,1,0,1,1,1,1,0,0,0,0
"34",5,0,1,1,1,0,0,1,0,0,1
"35",5,1,1,1,0,0,1,0,0,1,0
"36",4,1,0,0,1,0,0,0,1,0,1
"37",4,0,0,0,1,1,0,1,0,1,0
"38",3,0,0,0,0,0,1,1,1,0,0
"39",5,1,0,1,0,1,1,1,0,0,0
"40",4,0,0,0,1,0,0,1,0,1,1
"41",4,0,0,1,1,0,0,1,0,0,1
"42",5,0,1,1,1,0,0,0,1,1,0
"43",5,1,1,0,0,0,1,0,0,1,1
"44",7,0,1,1,1,0,1,1,1,0,1
"45",6,1,1,0,1,0,0,1,1,1,0
"46",6,1,0,1,0,1,1,0,1,0,1
"47",6,1,0,0,1,0,1,1,0,1,1
"48",4,0,0,1,1,0,1,0,1,0,0
"49",5,1,0,0,1,1,1,0,0,0,1
"50",5,1,0,1,1,0,0,1,0,1,0
