"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,0,1,1,0
"2",1,0,0,1,0,0
"3",4,1,1,0,1,1
"4",4,1,1,1,0,1
"5",1,0,1,0,0,0
"6",1,0,0,0,1,0
"7",3,0,0,1,1,1
"8",4,1,1,1,0,1
"9",2,1,0,0,0,1
"10",4,0,1,1,1,1
"11",3,0,0,1,1,1
"12",3,1,0,0,1,1
"13",3,1,0,0,1,1
"14",4,1,1,1,1,0
"15",2,1,1,0,0,0
"16",1,0,0,0,1,0
"17",3,1,1,0,1,0
"18",3,1,0,1,1,0
"19",2,0,1,1,0,0
"20",4,0,1,1,1,1
"21",3,0,1,1,1,0
"22",2,0,0,1,0,1
"23",4,1,1,0,1,1
"24",2,1,0,0,1,0
"25",4,1,1,1,1,0
"26",0,0,0,0,0,0
"27",2,0,0,1,1,0
"28",2,0,0,0,1,1
"29",3,0,1,1,0,1
"30",1,0,0,0,0,1
"31",1,0,0,0,0,1
"32",3,1,1,0,0,1
"33",4,1,0,1,1,1
"34",3,1,0,1,0,1
"35",1,1,0,0,0,0
"36",2,0,1,0,0,1
"37",2,1,0,0,1,0
"38",2,1,0,1,0,0
"39",0,0,0,0,0,0
"40",3,1,0,1,1,0
"41",2,0,0,1,0,1
"42",4,1,1,1,0,1
"43",1,0,0,0,1,0
"44",3,1,1,0,0,1
"45",3,1,0,1,0,1
"46",3,0,1,1,1,0
"47",3,0,1,1,0,1
"48",2,1,0,1,0,0
"49",2,0,1,0,1,0
"50",1,1,0,0,0,0
