"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",4,1,0,1,1,1
"2",2,0,1,0,1,0
"3",2,0,0,1,1,0
"4",3,1,1,1,0,0
"5",4,1,1,0,1,1
"6",5,1,1,1,1,1
"7",3,0,1,1,0,1
"8",2,0,0,1,0,1
"9",2,0,1,0,0,1
"10",3,0,0,1,1,1
"11",3,1,1,1,0,0
"12",3,1,0,0,1,1
"13",4,1,1,1,1,0
"14",2,0,0,0,1,1
"15",5,1,1,1,1,1
"16",0,0,0,0,0,0
"17",3,1,0,1,0,1
"18",2,0,1,0,0,1
"19",1,0,0,0,1,0
"20",3,0,1,1,1,0
"21",5,1,1,1,1,1
"22",3,1,0,1,1,0
"23",4,1,1,1,1,0
"24",4,1,1,1,1,0
"25",2,0,0,1,0,1
"26",2,1,1,0,0,0
"27",3,0,0,1,1,1
"28",4,1,1,0,1,1
"29",2,1,0,0,1,0
"30",4,1,1,1,1,0
"31",1,0,0,0,1,0
"32",3,1,1,0,1,0
"33",3,1,0,0,1,1
"34",2,1,1,0,0,0
"35",5,1,1,1,1,1
"36",1,0,0,1,0,0
"37",2,0,0,1,1,0
"38",2,0,1,0,0,1
"39",2,1,1,0,0,0
"40",1,0,1,0,0,0
"41",2,1,0,0,1,0
"42",3,1,0,1,0,1
"43",3,1,0,1,0,1
"44",2,0,1,0,0,1
"45",3,1,0,1,0,1
"46",2,1,0,0,0,1
"47",5,1,1,1,1,1
"48",3,1,0,1,0,1
"49",2,0,0,1,0,1
"50",4,1,0,1,1,1
"51",2,0,1,1,0,0
"52",2,0,0,1,0,1
"53",2,1,0,0,0,1
"54",3,1,1,1,0,0
"55",1,0,1,0,0,0
"56",3,1,0,1,0,1
"57",1,0,1,0,0,0
"58",4,1,1,1,0,1
"59",4,1,0,1,1,1
"60",4,1,1,1,0,1
"61",2,1,0,0,0,1
"62",2,1,0,1,0,0
"63",0,0,0,0,0,0
"64",3,0,1,0,1,1
"65",1,0,0,1,0,0
"66",4,1,1,1,0,1
"67",1,0,0,0,1,0
"68",4,0,1,1,1,1
"69",3,1,0,1,1,0
"70",2,1,0,0,0,1
"71",2,1,0,0,1,0
"72",4,1,1,1,0,1
"73",2,0,0,1,1,0
"74",1,1,0,0,0,0
"75",0,0,0,0,0,0
"76",2,0,1,0,0,1
"77",2,1,0,0,1,0
"78",2,0,0,0,1,1
"79",0,0,0,0,0,0
"80",2,1,0,0,0,1
"81",4,1,0,1,1,1
"82",2,0,0,1,0,1
"83",4,1,0,1,1,1
"84",1,1,0,0,0,0
"85",0,0,0,0,0,0
"86",2,1,0,1,0,0
"87",3,1,1,0,0,1
"88",1,0,0,0,1,0
"89",5,1,1,1,1,1
"90",1,1,0,0,0,0
"91",2,0,0,0,1,1
"92",3,0,1,1,1,0
"93",3,1,0,1,0,1
"94",1,0,0,0,1,0
"95",1,0,0,0,1,0
"96",2,0,0,0,1,1
"97",2,1,0,0,0,1
"98",1,0,0,1,0,0
"99",1,0,0,1,0,0
"100",2,0,1,0,0,1
