"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",4,1,1,1,0,1
"2",2,0,0,1,0,1
"3",2,1,0,1,0,0
"4",4,1,1,1,0,1
"5",4,1,1,0,1,1
"6",2,1,0,1,0,0
"7",3,1,0,1,1,0
"8",2,1,0,0,0,1
"9",3,1,1,1,0,0
"10",2,0,0,0,1,1
"11",5,1,1,1,1,1
"12",3,0,1,1,1,0
"13",3,1,1,1,0,0
"14",4,1,1,1,0,1
"15",3,1,0,1,0,1
"16",4,1,1,1,1,0
"17",3,1,0,0,1,1
"18",2,1,1,0,0,0
"19",4,1,1,0,1,1
"20",2,1,0,1,0,0
"21",1,1,0,0,0,0
"22",5,1,1,1,1,1
"23",2,0,1,0,1,0
"24",2,1,0,1,0,0
"25",4,1,1,0,1,1
"26",2,1,1,0,0,0
"27",2,0,1,0,1,0
"28",2,0,1,1,0,0
"29",4,1,1,0,1,1
"30",2,0,1,0,0,1
"31",3,0,1,1,1,0
"32",3,1,0,0,1,1
"33",2,0,1,1,0,0
"34",3,1,0,1,1,0
"35",1,1,0,0,0,0
"36",2,0,1,0,1,0
"37",5,1,1,1,1,1
"38",4,1,1,1,0,1
"39",3,0,1,0,1,1
"40",3,0,1,1,1,0
"41",1,1,0,0,0,0
"42",2,0,1,1,0,0
"43",3,1,0,1,0,1
"44",4,0,1,1,1,1
"45",2,0,0,1,0,1
"46",2,0,0,0,1,1
"47",2,0,0,0,1,1
"48",2,1,1,0,0,0
"49",1,0,0,0,1,0
"50",5,1,1,1,1,1
