"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",7,1,1,1,1,0,0,1,0,1,1
"2",6,0,1,0,1,1,1,0,0,1,1
"3",6,1,1,1,0,1,0,1,1,0,0
"4",5,1,1,0,0,1,0,1,0,1,0
"5",4,1,0,0,0,0,0,0,1,1,1
"6",3,1,1,0,0,0,0,0,0,0,1
"7",4,0,0,1,1,0,0,1,0,0,1
"8",3,1,0,1,1,0,0,0,0,0,0
"9",5,1,1,0,1,1,0,0,0,0,1
"10",5,1,0,0,0,0,1,1,1,0,1
"11",4,0,0,0,1,0,1,0,1,1,0
"12",2,0,0,0,0,0,1,0,1,0,0
"13",5,1,0,1,1,1,0,1,0,0,0
"14",6,1,1,0,1,0,0,1,1,0,1
"15",3,0,1,1,1,0,0,0,0,0,0
"16",6,1,1,1,0,0,0,1,1,0,1
"17",3,1,0,0,1,0,0,0,0,1,0
"18",5,0,1,0,0,1,0,1,1,0,1
"19",3,0,1,0,1,1,0,0,0,0,0
"20",4,0,1,1,1,0,0,0,0,1,0
"21",5,0,0,0,1,1,0,1,0,1,1
"22",6,1,1,0,0,0,1,1,1,1,0
"23",4,0,1,0,0,1,1,0,0,0,1
"24",6,0,1,1,0,0,1,0,1,1,1
"25",6,0,1,1,1,0,1,0,1,0,1
"26",5,1,0,0,0,1,1,1,0,1,0
"27",5,0,0,1,1,1,0,0,1,1,0
"28",7,1,1,1,0,1,1,1,0,1,0
"29",6,1,0,0,0,1,1,0,1,1,1
"30",9,1,1,1,0,1,1,1,1,1,1
"31",4,1,0,0,0,0,1,1,0,0,1
"32",6,1,1,1,1,0,1,0,1,0,0
"33",1,0,0,1,0,0,0,0,0,0,0
"34",2,0,1,0,0,0,0,0,1,0,0
"35",5,1,0,1,0,0,1,0,1,0,1
"36",8,1,1,1,1,1,0,1,1,1,0
"37",5,0,0,0,1,1,1,1,0,1,0
"38",6,0,0,1,0,1,1,1,1,1,0
"39",7,1,1,1,0,1,0,0,1,1,1
"40",4,1,0,0,1,0,1,0,0,1,0
"41",4,0,0,0,1,1,1,0,1,0,0
"42",2,0,0,0,0,1,0,0,1,0,0
"43",5,1,0,0,0,1,1,0,1,1,0
"44",4,0,0,0,1,0,1,0,1,1,0
"45",1,1,0,0,0,0,0,0,0,0,0
"46",5,0,1,0,0,1,1,0,1,0,1
"47",4,0,1,0,1,0,0,0,1,0,1
"48",6,0,1,1,0,1,1,0,1,1,0
"49",6,1,1,1,0,0,1,0,1,0,1
"50",6,1,1,1,0,0,0,1,0,1,1
