"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",4,1,1,1,0,1
"2",2,0,1,0,1,0
"3",2,1,0,1,0,0
"4",1,1,0,0,0,0
"5",3,0,0,1,1,1
"6",2,0,0,1,1,0
"7",3,0,1,1,0,1
"8",1,0,0,1,0,0
"9",1,0,0,0,0,1
"10",2,0,0,0,1,1
"11",2,0,0,0,1,1
"12",3,1,0,1,0,1
"13",4,0,1,1,1,1
"14",4,1,1,1,0,1
"15",4,1,1,0,1,1
"16",2,1,0,1,0,0
"17",4,1,1,1,0,1
"18",1,0,0,0,1,0
"19",1,1,0,0,0,0
"20",2,0,1,0,1,0
"21",1,0,1,0,0,0
"22",3,1,0,1,1,0
"23",1,0,0,0,1,0
"24",2,1,0,0,1,0
"25",3,0,0,1,1,1
"26",3,1,1,0,1,0
"27",3,0,0,1,1,1
"28",2,1,0,0,0,1
"29",3,1,0,1,0,1
"30",2,0,0,1,0,1
"31",4,1,1,0,1,1
"32",1,1,0,0,0,0
"33",3,1,1,0,1,0
"34",1,0,0,0,0,1
"35",3,1,1,0,0,1
"36",4,0,1,1,1,1
"37",2,1,0,0,1,0
"38",2,1,0,1,0,0
"39",2,1,0,0,0,1
"40",4,1,0,1,1,1
"41",2,0,1,1,0,0
"42",0,0,0,0,0,0
"43",4,0,1,1,1,1
"44",2,0,1,1,0,0
"45",2,1,1,0,0,0
"46",3,1,0,0,1,1
"47",1,1,0,0,0,0
"48",3,1,0,0,1,1
"49",3,1,1,1,0,0
"50",3,1,0,1,1,0
