"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",9,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
"2",10,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0
"3",7,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
"4",9,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
"5",12,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1
"6",8,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"7",10,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
"8",9,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1
"9",12,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
"10",15,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
"11",11,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1
"12",11,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1
"13",11,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1
"14",12,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1
"15",10,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1
"16",8,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1
"17",13,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0
"18",7,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"19",9,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
"20",7,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0
