"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,0,1,1,1,0
"2",2,0,0,1,0,1
"3",3,1,0,0,1,1
"4",3,1,0,1,1,0
"5",2,0,1,0,1,0
"6",2,1,1,0,0,0
"7",2,1,1,0,0,0
"8",2,0,1,0,0,1
"9",2,0,1,1,0,0
"10",2,1,0,0,1,0
"11",3,1,1,1,0,0
"12",2,0,0,1,0,1
"13",2,0,1,0,1,0
"14",3,1,0,1,1,0
"15",1,1,0,0,0,0
"16",2,0,1,0,1,0
"17",5,1,1,1,1,1
"18",1,0,0,1,0,0
"19",5,1,1,1,1,1
"20",4,1,1,1,1,0
"21",4,1,1,1,1,0
"22",2,0,1,1,0,0
"23",1,0,1,0,0,0
"24",1,0,0,0,1,0
"25",4,1,1,0,1,1
"26",2,0,0,1,1,0
"27",3,1,1,0,1,0
"28",3,0,1,0,1,1
"29",3,0,1,1,1,0
"30",2,0,0,0,1,1
"31",3,1,1,1,0,0
"32",5,1,1,1,1,1
"33",2,0,1,1,0,0
"34",3,1,1,1,0,0
"35",5,1,1,1,1,1
"36",3,1,0,1,0,1
"37",2,1,0,0,0,1
"38",3,1,0,0,1,1
"39",2,0,0,1,1,0
"40",3,1,0,1,1,0
"41",2,0,1,1,0,0
"42",2,0,0,0,1,1
"43",2,0,1,0,1,0
"44",3,0,0,1,1,1
"45",0,0,0,0,0,0
"46",3,1,1,0,0,1
"47",1,1,0,0,0,0
"48",1,0,1,0,0,0
"49",2,1,0,0,0,1
"50",3,1,1,0,1,0
"51",4,1,1,1,0,1
"52",4,1,0,1,1,1
"53",2,0,0,0,1,1
"54",4,1,0,1,1,1
"55",2,1,0,1,0,0
"56",2,0,1,1,0,0
"57",3,0,1,0,1,1
"58",2,0,1,0,0,1
"59",3,1,0,1,1,0
"60",3,0,1,0,1,1
"61",2,0,0,1,0,1
"62",1,0,0,1,0,0
"63",4,1,1,1,0,1
"64",4,1,0,1,1,1
"65",3,0,1,0,1,1
"66",3,0,1,0,1,1
"67",2,1,0,1,0,0
"68",2,0,1,1,0,0
"69",2,0,1,0,0,1
"70",3,1,1,0,0,1
"71",1,0,1,0,0,0
"72",0,0,0,0,0,0
"73",2,0,1,1,0,0
"74",1,0,1,0,0,0
"75",4,1,1,1,1,0
"76",3,1,0,1,0,1
"77",1,0,0,1,0,0
"78",4,0,1,1,1,1
"79",1,0,0,0,0,1
"80",2,1,0,0,0,1
"81",2,0,1,0,0,1
"82",2,0,0,1,0,1
"83",2,0,0,1,1,0
"84",2,0,1,0,1,0
"85",1,0,0,1,0,0
"86",4,1,0,1,1,1
"87",3,0,0,1,1,1
"88",3,1,1,0,0,1
"89",2,0,1,0,0,1
"90",0,0,0,0,0,0
"91",4,1,0,1,1,1
"92",2,1,1,0,0,0
"93",2,1,1,0,0,0
"94",3,1,1,0,1,0
"95",4,1,0,1,1,1
"96",3,1,0,1,1,0
"97",3,1,1,0,0,1
"98",2,0,1,1,0,0
"99",3,0,1,1,1,0
"100",3,1,0,0,1,1
